organism_code,common_5perc,species_name,indiv_n_all,indiv_prop_all,rank_prop_all,rank_no,indiv_n_D28A-L,indiv_n_D4-L,indiv_n_D7-C,indiv_prop_D28A-L,indiv_prop_D4-L,indiv_prop_D7-C
2570,1,Limnodrilus udekemianus,12751.76,0.0011133366554264374,0.8755020080321285,32,9660.35,2892.69,198.72,8.434303781790737e-4,2.525563380886639e-4,1.734993915869979e-5
3090,1,Pseudopolydora kempi,12589.77,0.001099193556370893,0.8714859437751004,33,0,19.23,12570.54,0,1.6789418781290105e-6,0.0010975146144927641
2650,1,Embolocephalus nikolskyi,10847.89,9.471126786446652e-4,0.8674698795180723,34,10843.08,4.81,0,9.466927249039579e-4,4.199537407072564e-7,0
1230,1,Dorylaimus sp. A,9118.67,7.961371261486564e-4,0.8634538152610441,35,6780.52,1802.91,535.24,5.919968270146292e-4,1.5740931365041988e-4,4.673098548360747e-5
2490,1,Branchiura sowerbyi,8392.59,7.327441922499611e-4,0.8594377510040161,36,8096.1,296.49,0,7.068581039792139e-4,2.5886088270747288e-5,0
6750,1,Pisidium casertanum,6844.7300000000005,5.97602903873426e-4,0.8554216867469879,37,6804.65,40.08,0,5.941035803957655e-4,3.4993234776604647e-6,0
2090,1,Dero trifida,5942.34,5.188166136287646e-4,0.8514056224899599,38,5867.01,75.33,0,5.12239666583551e-4,6.576947045213643e-6,0
6497,0,Hydrobioidea sp. E,5754.84,5.024462755034818e-4,0.8473895582329317,39,4.81,5750.03,0,4.199537407072564e-7,5.020263217627746e-4,0
6810,1,Limecola petalum,5509.86,4.810574465225122e-4,0.8433734939759037,40,0,275.68,5234.18,0,2.4069199010015894e-5,4.5698824751249636e-4
2810,1,Sparganophilus eiseni,5415.2699999999995,4.727989383450695e-4,0.8393574297188755,41,5246.96,168.31,0,4.581040497591156e-4,1.4694888585953914e-5,0
4310,1,Synidotea laticauda,5187.61,4.52922292064526e-4,0.8353413654618473,42,0,3588.14,1599.47,0,3.1327501355121306e-4,1.3964727851331298e-4
2530,1,Ilyodrilus templetoni,4851.01,4.235342610620183e-4,0.8313253012048193,43,2637.85,2190.72,22.439999999999998,2.3030664759347947e-4,1.912684114017049e-4,1.959202066833853e-6
3370,1,Alitta succinea,4676.29,4.0827972518335466e-4,0.8273092369477911,44,0,184.29000000000002,4492,0,1.6090077936578022e-5,3.9218964724677666e-4
4050,1,Candona sp. A,4666.68,4.074406907866402e-4,0.8232931726907631,45,4469.56,197.12,0,3.9023044517994286e-4,1.7210245606697377e-5,0
5410,1,Procladius sp. A,4562.55,3.983492598053831e-4,0.8192771084337349,46,4057.71,368.61,136.23,3.542724518098215e-4,3.2182775127256087e-5,1.1894032868305516e-5
4510,1,Ampelisca abdita,4219.63,3.684094392724658e-4,0.8152610441767069,47,0,14.43,4205.2,0,1.2598612221217692e-6,3.6714957805034396e-4
4410,1,Uromunna sp. A,3943.98,3.443428595165499e-4,0.8112449799196787,48,1828.57,2109,6.41,1.596496489906586e-4,1.8413356323318165e-4,5.596472927096702e-7
1270,1,Actinolaiminae sp. A,3836.6,3.349676760077879e-4,0.8072289156626506,49,2881.45,955.15,0,2.5157499088584697e-4,8.339268512194094e-5,0
2610,1,Psammoryctides californianus,3557.71,3.106182168090672e-4,0.8032128514056225,50,378.19,3125.03,54.49,3.301919026987054e-5,2.7284158800881445e-4,4.757438530382204e-6
2540,0,Limnodrilus claparedianus,3350.98,2.925689368056553e-4,0.7991967871485943,51,96.16,3254.82,0,8.395582475345067e-6,2.8417335433031024e-4,0
6570,1,Physa sp. A,3195.59,2.790020736521209e-4,0.7951807228915663,52,3065.75,129.84,0,2.67665941907125e-4,1.1336131744995878e-5,0
4030,1,Isocypris sp. A,3017.69,2.6346989683885254e-4,0.7911646586345381,53,1911.9,902.26,203.53,1.6692506379588432e-4,7.877494014356116e-5,1.7769892899407046e-5
1090,1,turbellarian sp. A,2900.75,2.532600443568761e-4,0.7871485943775101,54,35.26,2745.29,120.2,3.0784966522531934e-6,2.3968706961044155e-4,1.0494478094181335e-5
4350,1,Gnorimosphaeroma insulare,2697.2,2.35488405288069e-4,0.7831325301204819,55,115.39,2572.19,9.62,1.0074524353474078e-5,2.2457397345318042e-4,8.399074814145128e-7
5530,0,Chironomus attenuatus,2663.54,2.3254960218781822e-4,0.7791164658634538,56,556.13,2017.65,89.75999999999999,4.855485942193898e-5,1.7615793449854384e-4,7.836808267335412e-6
4370,1,Gnorimosphaeroma oregonensis,2652.37,2.3157436657790138e-4,0.7751004016064257,57,11.219999999999999,2492.07,149.07999999999998,9.796010334169265e-7,2.1757881883665957e-4,1.3015946707824901e-5
6490,1,Fluminicola sp. A,2509.73,2.191206864168862e-4,0.7710843373493976,58,1014.46,1490.46,4.81,8.857095047773043e-5,1.3012978219844852e-4,4.199537407072564e-7
1295,0,nematode sp. A,2480.75,2.1659048695624248e-4,0.7670682730923695,59,185.89,2205.12,89.74000000000001,1.6229771488580434e-5,1.9252565336972665e-4,7.835062097935383e-6
2850,1,Lumbriculus variegatus,2479.21,2.1645603191244015e-4,0.7630522088353414,60,2472.8,6.41,0,2.158963846197305e-4,5.596472927096702e-7,0
4270,1,Sinelobus stanfordi,2402.27,2.097385182305241e-4,0.7590361445783133,61,344.56,2057.71,0,3.0083006423719805e-5,1.7965551180680427e-4,0
4740,0,Crangonyx floridanus,2367.05,2.0666351391707095e-4,0.7550200803212851,62,2193.96,173.09,0,1.9155129084450984e-4,1.5112223072561125e-5,0
2590,0,Potamothrix bavaricus,2306.1,2.01342062670479e-4,0.751004016064257,63,16.03,2290.07,0,1.399554774124183e-6,1.9994250789635482e-4,0
6530,1,Gyraulus circumstriatus,2057.83,1.7966598882320444e-4,0.7469879518072289,64,1971.25,86.58,0,1.7210682149047384e-4,7.559167332730615e-6,0
4335,0,Caecidotea racovitzai,1971.2,1.7210245606697378e-4,0.7429718875502008,65,1730.8,240.4,0,1.5111349987861108e-4,2.098895618836267e-5,0
2970,1,Mooreobdella microstoma,1955.34,1.7071774373274984e-4,0.7389558232931727,66,1655.59,299.75,0,1.4454702984979763e-4,2.6170713882952205e-5,0
1010,1,Girardia tigrina,1955.21,1.7070639363164964e-4,0.7349397590361446,67,1767.69,182.71,4.81,1.5433430933696674e-4,1.595213055397564e-5,4.199537407072564e-7
3110,1,Streblospio benedicti,1932.7,1.6874107997191568e-4,0.7309236947791165,68,0,25.64,1907.06,0,2.2385891708386807e-6,1.66502490801077e-4
6590,0,Ferrissia californica,1903.9,1.6622659603587225e-4,0.7269076305220884,69,1894.28,9.62,0,1.6538668855445773e-4,8.399074814145128e-7,0
5550,1,Cryptochironomus sp. A,1706.81,1.490189696832749e-4,0.7228915662650602,70,1533.72,168.28,4.81,1.3390674661071378e-4,1.4692269331853868e-5,4.199537407072564e-7
4950,1,Rhithropanopeus harrisii,1671.44,1.4593086909932154e-4,0.7188755020080321,71,6.41,1455.1,209.93,5.596472927096702e-7,1.2704255469919517e-4,1.8328667107416703e-5
2270,1,Slavina appendiculata,1663.48,1.4523589367810953e-4,0.714859437751004,72,1575.33,88.15,0,1.3753965204747656e-4,7.696241630632985e-6,0
2050,0,Chaetogaster limnaei,1532.0300000000002,1.3375919529641124e-4,0.7108433734939759,73,1243.5800000000002,282.04,6.41,1.0857506712447609e-4,2.4624480879225488e-5,5.596472927096702e-7
4560,0,Sinocorophium heteroceratum,1357.37,1.1850989792594773e-4,0.7068273092369478,74,0,62.5,1294.87,0,5.456779375094288e-6,1.1305311855085344e-4
4770,0,Melita nitida,1283.63,1.120717713480365e-4,0.7028112449799196,75,0,1155.43,128.2,0,1.008788254938431e-4,1.1192945854193402e-5
1210,0,Teratocephalus sp. A,1201.91,1.0493692317951322e-4,0.6987951807228916,76,738.78,149.04,314.09,6.450175146771452e-5,1.3012454369024842e-5,2.7422717342773835e-5
5790,0,Polypedilum sp. A,1123.46,9.808757370789487e-5,0.6947791164658634,77,732.42,349.37,41.67,6.394646959850493e-5,3.0502960164427062e-5,3.638143944962864e-6
3170,1,Heteromastus filiformis,1115.46,9.738910594788279e-5,0.6907630522088354,78,0,0,1115.46,0,0,9.738910594788279e-5
5990,0,Psectrocladius sp. A,1104.19,9.64051394909658e-5,0.6867469879518072,79,1070.53,33.66,0,9.346633639071501e-5,2.9388031002507793e-6,0
4330,0,Asellus hilgendorfii,1094.55,9.556348584015124e-5,0.6827309236947792,80,1080.1200000000001,14.43,0,9.430362461802948e-5,1.2598612221217692e-6,0
2710,0,Tubificoides fraseri,1067.33,9.318694928671018e-5,0.678714859437751,81,158.66,0,908.67,1.3852361850439356e-5,0,7.933458743627082e-5
2210,0,Paranais frici,932.72,8.14343561398071e-5,0.6746987951807228,82,509.63,423.09,0,4.449501556686883e-5,3.693934057293827e-5,0
2190,0,Ophidonais serpentina,908.65,7.933284126687079e-5,0.6706827309236948,83,794.87,113.78,0,6.939888355009915e-5,9.93395771677165e-6,0
6565,0,Helisoma anceps,827.04,7.220759703004767e-5,0.6666666666666666,84,764.51,62.529999999999994,0,6.674819840085334e-5,5.459398629194333e-6,0
2790,0,enchytraeid sp. B,637.8000000000001,5.5685342166962197e-5,0.6626506024096386,85,12.82,613.76,11.219999999999999,1.1192945854193404e-6,5.358644654812592e-5,9.796010334169265e-7
2690,0,Tubificoides brownae,629.8100000000001,5.498774749165014e-5,0.6586345381526104,86,0,0,629.8100000000001,0,0,5.498774749165014e-5
2330,0,Vejdovskyella intermedia,615.38,5.372788626952836e-5,0.6546184738955824,87,572.11,43.27,0,4.995004877256309e-5,3.7778374969652776e-6,0
2100,0,Haemonais waldvogeli,596.15,5.204894439139935e-5,0.6506024096385542,88,596.15,0,0,5.204894439139935e-5,0,0
1205,0,Amphidelus sp. A,586.57,5.121252924878491e-5,0.6465863453815262,89,533.68,52.89,0,4.659478427040511e-5,4.61774497837979e-6,0
2110,0,Nais communis / variabilis,576.97,5.037436793677042e-5,0.642570281124498,90,517.67,54.489999999999995,4.81,4.5196975665680956e-5,4.7574385303822035e-6,4.199537407072564e-7
3250,0,Eteone californica,543.27,4.743207249771958e-5,0.6385542168674698,91,0,538.46,4.81,0,4.7012118757012325e-5,4.199537407072564e-7
6496,0,Hydrobioidea sp. D,533.6899999999999,4.659565735510512e-5,0.6345381526104418,92,0,524.0699999999999,9.62,0,4.575574987369061e-5,8.399074814145128e-7
2670,0,Teneridrilus mastix,532.06,4.645334454900266e-5,0.6305220883534136,93,514.43,17.63,0,4.4914096222876066e-5,1.5392483261265967e-6,0
5236,0,Oxyethira sp. A,516.05,4.5055535944278515e-5,0.6265060240963856,94,492.01,19.23,4.81,4.2956640325442246e-5,1.6789418781290105e-6,4.199537407072564e-7
4315,0,Cyathura sp. A,500,4.36542350007543e-5,0.6224899598393574,95,0,500,0,0,4.36542350007543e-5,0
4870,0,Palaemon macrodactylus,496.79,4.337397481204946e-5,0.6184738955823293,96,4.81,293.27,198.71,4.199537407072564e-7,2.5604954997342427e-5,1.7349066073999776e-5
3070,0,Polydora cornuta,492,4.2955767240742237e-5,0.6144578313253012,97,0,250,242,0,2.182711750037715e-5,2.1128649740365082e-5
2080,0,Dero nivea,466.35,4.071630498520354e-5,0.6104417670682731,98,437.5,28.85,0,3.819745562566002e-5,2.5188493595435236e-6,0
3270,0,Eteone lighti,435.96,3.8063000581857694e-5,0.606425702811245,99,0,4.81,431.15,0,4.199537407072564e-7,3.764304684115044e-5
1110,0,paleonemertean sp. A,427.87,3.735667505954549e-5,0.6024096385542169,100,0,211.53,216.34,0,1.8468360659419115e-5,1.8888314400126372e-5
4100,0,Hyperacanthomysis longirostris,408.69,3.568209860491655e-5,0.5983935742971888,101,0,76.92999999999999,331.76,0,6.716640597216056e-6,2.8965458007700496e-5
5130,0,Stylurus olivaceus,399.15999999999997,3.485004888580217e-5,0.5943775100401606,102,38.46,360.7,0,3.357883756258021e-6,3.1492165129544156e-5,0
2870,0,Rhynchelmis rostrata,387.83,3.386084392068508e-5,0.5903614457831325,103,362.19,25.64,0,3.1622254749846404e-5,2.2385891708386807e-6,0
2070,0,Dero digitata,384.63,3.358145681668026e-5,0.5863453815261044,104,334.95,49.68,0,2.9243972027005308e-5,4.337484789674947e-6,0
5601,0,Dicrotendipes sp. B,370.21,3.23224686792585e-5,0.5823293172690763,105,360.59,9.62,0,3.148256119784399e-5,8.399074814145128e-7,0
5691,0,Parachironomus sp. A,370.19,3.232072250985847e-5,0.5783132530120482,106,370.19,0,0,3.232072250985847e-5,0,0
6690,0,Musculista senhousia,358.97,3.1341121476441546e-5,0.5742971887550201,107,0,4.81,354.16,0,4.199537407072564e-7,3.092116773573429e-5
2290,0,Stylaria lacustris,346.19,3.0225319229822263e-5,0.570281124497992,108,314.14,32.05,0,2.7427082766273913e-5,2.7982364635483505e-6,0
1020,0,planariid sp. A,336.58,2.9386284833107766e-5,0.5662650602409639,109,0,230.76999999999998,105.80999999999999,0,2.014817562224814e-5,9.238109210859625e-6
1050,0,triclad sp. B,314.09,2.7422717342773835e-5,0.5622489959839357,110,44.870000000000005,269.21999999999997,0,3.917531048967691e-6,2.3505186293806146e-5,0
5670,0,Harnischia curtilamellata,306.1,2.6725122667461786e-5,0.5582329317269076,111,219.56,81.73,4.81,1.916944767353123e-5,7.135721253223299e-6,4.199537407072564e-7
5710,0,Paracladopelma sp. A,294.89,2.5746394718744873e-5,0.5542168674698795,112,41.67,193.92,59.3,3.638143944962864e-6,1.693085850269255e-5,5.1773922710894604e-6
2770,0,Enchytraeus sp. A,290.07,2.5325567893337602e-5,0.5502008032128514,113,243.59,46.48,0,2.126747020766748e-5,4.05809768567012e-6,0
5520,0,Tanytarsus sp. A,290.07,2.5325567893337602e-5,0.5461847389558233,114,168.26999999999998,121.8,0,1.4691396247153852e-5,1.0634171646183747e-5,0
4020,0,Herpetocypris brevicaudata,288.48,2.5186747426035203e-5,0.54216867469879515,115,283.67,4.81,0,2.4766793685327946e-5,4.199537407072564e-7,0
5570,0,Cryptochironomus sp. B,277.25,2.420627330791826e-5,0.5381526104417671,116,76.93,200.32,0,6.716640597216058e-6,1.7489632710702202e-5,0
2910,0,Helobdella stagnalis,270.85,2.3647499099908608e-5,0.5341365461847389,117,256.42,9.62,4.81,2.2387637877786837e-5,8.399074814145128e-7,4.199537407072564e-7
1095,0,turbellarian sp. F,269.24,2.350693246320618e-5,0.5301204819277109,118,269.24,0,0,2.350693246320618e-5,0,0
5450,0,Ablabesmyia sp. A,266.06,2.322929152860138e-5,0.5261044176706827,119,251.63,9.62,4.81,2.196943030647961e-5,8.399074814145128e-7,4.199537407072564e-7
6495,0,Hydrobioidea sp. C,225.97,1.97290949662409e-5,0.5220883534136547,120,0,4.81,221.16,0,4.199537407072564e-7,1.9309141225533642e-5
6560,0,Dilatata dilatatus,208.35,1.8190719724814316e-5,0.5180722891566265,121,203.54,4.81,0,1.777076598410706e-5,4.199537407072564e-7,0
1000,0,Hydra sp. A,201.93,1.7630199347404634e-5,0.5140562248995983,122,150.65,51.28,0,1.3153021005727273e-5,4.4771783416773614e-6,0
6491,0,Hydrobioidea sp. A,192.35999999999999,1.6794657289490196e-5,0.5100401606425703,123,0,182.73999999999998,9.62,0,1.5954749808075682e-5,8.399074814145128e-7
4110,0,Neomysis mercedis,192.32,1.6791164950690133e-5,0.5060240963855421,124,44.870000000000005,54.5,92.95,3.917531048967691e-6,4.758311615082219e-6,8.115322286640225e-6
6670,0,Theora lubrica,163.47,1.4272315591146611e-5,0.5020080321285141,125,153.85,0,9.62,1.3432408109732099e-5,0,8.399074814145128e-7
5510,0,Paratanytarsus sp. A,161.88,1.4133495123844214e-5,0.4979919678714859,126,149.06,12.82,0,1.3014200538424873e-5,1.1192945854193404e-6,0
2980,0,Gloiobdella elongata,153.85999999999999,1.3433281194432112e-5,0.4939759036144578,127,33.66,120.2,0,2.9388031002507793e-6,1.0494478094181335e-5,0
4890,0,Crangon franciscorum,149.05,1.3013327453724859e-5,0.4899598393574297,128,0,52.89,96.16,0,4.61774497837979e-6,8.395582475345067e-6
1030,0,triclad sp. A,145.83,1.2732194180320001e-5,0.4859437751004016,129,51.28,17.63,76.92,4.4771783416773614e-6,1.5392483261265967e-6,6.715767512516042e-6
2230,0,Pristina breviseta,139.42,1.2172546887610328e-5,0.4819277108433735,130,139.42,0,0,1.2172546887610328e-5,0,0
2930,0,Helobdella triserialis,126.63,1.1055871556291034e-5,0.4779116465863454,131,121.82,4.81,0,1.0635917815583779e-5,4.199537407072564e-7,0
4530,0,Monocorophium acherusicum,126.61999999999999,1.1054998471591019e-5,0.4738955823293173,132,0,38.46,88.16,0,3.357883756258021e-6,7.697114715332998e-6
5140,0,Enallagma sp. A,125.02,1.0915304919588605e-5,0.46987951807228917,133,115.4,4.81,4.81,1.0075397438174094e-5,4.199537407072564e-7,4.199537407072564e-7
5600,0,Dicrotendipes sp. A,120.21,1.049535117888135e-5,0.46586345381526106,134,86.55,33.66,0,7.55654807863057e-6,2.9388031002507793e-6,0
2800,0,enchytraeid sp. C,115.39,1.0074524353474078e-5,0.46184738955823296,135,81.73,33.66,0,7.135721253223299e-6,2.9388031002507793e-6,0
4570,0,Monocorophium insidiosum,108.97,9.514003976064392e-6,0.4578313253012048,136,0,0,108.97,0,0,9.514003976064392e-6
5470,0,Cladotanytarsus sp. A,107.38,9.375183508761995e-6,0.4538152610441767,137,94.56,12.82,0,8.255888923342654e-6,1.1192945854193404e-6,0
4525,0,Ampithoe valida,105.77,9.234616872059566e-6,0.4497991967871486,138,0,105.77,0,0,9.234616872059566e-6,0
5630,0,Endochironomus sp. A,104.17,9.094923320057152e-6,0.4457831325301205,139,19.23,65.71,19.23,1.6789418781290105e-6,5.73703956379913e-6,1.6789418781290105e-6
5490,0,Micropsectra sp. A,97.76,8.535276027347482e-6,0.44176706827309237,140,30.45,67.31,0,2.658542911545937e-6,5.876733115801545e-6,0
2251,0,Pristina sp. A,96.15,8.394709390645054e-6,0.43775100401606426,141,96.15,0,0,8.394709390645054e-6,0,0
4730,0,Gnathopleustes pugettensis,92.97,8.117068456040255e-6,0.43373493975903615,142,0,9.62,83.35,0,8.399074814145128e-7,7.277160974625742e-6
2005,0,Arcteonais lomondi,91.38999999999999,7.97912107343787e-6,0.42971887550200805,143,91.38999999999999,0,0,7.97912107343787e-6,0,0
1091,0,turbellarian sp. B,91.35,7.975628734637811e-6,0.42570281124497994,144,81.73,9.62,0,7.135721253223299e-6,8.399074814145128e-7,0
2130,0,Nais pardalis,89.75,7.835935182635397e-6,0.42168674698795183,145,30.45,59.3,0,2.658542911545937e-6,5.1773922710894604e-6,0
6230,0,Limnesia sp. A,81.75,7.137467422623329e-6,0.41767068273092367,146,62.519999999999996,19.23,0,5.458525544494318e-6,1.6789418781290105e-6,0
2820,0,Eukerria saltensis,81.74,7.136594337923313e-6,0.41365461847389556,147,72.12,9.62,0,6.296686856508801e-6,8.399074814145128e-7,0
6740,0,Musculium transversum,76.94,6.717513681916072e-6,0.40963855421686746,148,67.32,9.62,0,5.877606200501559e-6,8.399074814145128e-7,0
2300,0,Uncinais uncinata,76.93,6.716640597216058e-6,0.40562248995983935,149,76.93,0,0,6.716640597216058e-6,0,0
5235,0,Hydroptila sp. A,60.9,5.317085823091874e-6,0.40160642570281124,150,44.870000000000005,11.219999999999999,4.81,3.917531048967691e-6,9.796010334169265e-7,4.199537407072564e-7
6270,0,Unionicola sp. A,57.69,5.036825634387032e-6,0.39759036144578314,151,57.69,0,0,5.036825634387032e-6,0,0
2250,0,Pristina leidyi,56.09,4.897132082384618e-6,0.39357429718875503,152,56.09,0,0,4.897132082384618e-6,0,0
2030,0,Chaetogaster diaphanus,51.28,4.4771783416773614e-6,0.3895582329317269,153,25.64,25.64,0,2.2385891708386807e-6,2.2385891708386807e-6,0
5210,0,Trichocorixa verticalis,49.68,4.337484789674947e-6,0.3855421686746988,154,6.41,17.63,25.64,5.596472927096702e-7,1.5392483261265967e-6,2.2385891708386807e-6
5590,0,Demicryptochironomus sp. A,44.870000000000005,3.917531048967691e-6,0.3815261044176707,155,0,44.870000000000005,0,0,3.917531048967691e-6,0
6610,0,Assiminea californica,44.870000000000005,3.917531048967691e-6,0.37751004016064255,156,0,0,44.870000000000005,0,0,3.917531048967691e-6
4892,0,Crangon nigricauda,43.29,3.7795836663653076e-6,0.37349397590361444,157,0,4.81,38.48,0,4.199537407072564e-7,3.359629925658051e-6
5540,0,Cladopelma sp. A,43.28,3.778710581665293e-6,0.36947791164658633,158,43.28,0,0,3.778710581665293e-6,0,0
5770,0,Phaenopsectra sp. A,43.27,3.7778374969652776e-6,0.3654618473895582,159,0,43.27,0,0,3.7778374969652776e-6,0
6015,0,Probezzia sp. A,43.27,3.7778374969652776e-6,0.3614457831325301,160,19.23,24.04,0,1.6789418781290105e-6,2.0988956188362666e-6,0
2660,0,Teneridrilus calvus,41.67,3.638143944962864e-6,0.357429718875502,161,11.219999999999999,25.64,4.81,9.796010334169265e-7,2.2385891708386807e-6,4.199537407072564e-7
5870,0,Monodiamesa sp. A,41.67,3.638143944962864e-6,0.3534136546184739,162,0,41.67,0,0,3.638143944962864e-6,0
4520,0,Ampelisca lobata,38.48,3.359629925658051e-6,0.3493975903614458,163,0,0,38.48,0,0,3.359629925658051e-6
5675,0,Microchironomus sp. A,38.46,3.357883756258021e-6,0.3453815261044177,164,25.64,6.41,6.41,2.2385891708386807e-6,5.596472927096702e-7,5.596472927096702e-7
4745,0,Eogammarus confervicolus,33.66,2.9388031002507793e-6,0.3413654618473896,165,4.81,28.85,0,4.199537407072564e-7,2.5188493595435236e-6,0
2580,0,Monopylephorus evertus,33.65,2.9379300155507645e-6,0.3373493975903614,166,0,19.23,14.42,0,1.6789418781290105e-6,1.258988137421754e-6
5610,0,Glyptotendipes sp. A,32.05,2.7982364635483505e-6,0.3333333333333333,167,0,32.05,0,0,2.7982364635483505e-6,0
5535,0,Chironomus stigmaterus,28.85,2.5188493595435236e-6,0.3293172690763052,168,4.81,24.04,0,4.199537407072564e-7,2.0988956188362666e-6,0
5572,0,Cryptochironomus sp. D,28.85,2.5188493595435236e-6,0.3253012048192771,169,28.85,0,0,2.5188493595435236e-6,0,0
3180,0,Capitella sp. A,28.849999999999998,2.518849359543523e-6,0.321285140562249,170,0,0,28.849999999999998,0,0,2.518849359543523e-6
5890,0,Cricotopus bicinctus,25.65,2.2394622555386955e-6,0.3172690763052209,171,25.65,0,0,2.2394622555386955e-6,0,0
