order,assigned,citation?,prop_d28,prop_d4,prop_d7,prop,native,organism_code,target_taxon_name,target_taxon_level,lit_taxon_name,lit_taxon_level,lit_taxon_type,citation,database,field_lab,population_country,population_state,population_description,trait,trait_value_rank,trait_value,trait_unit,trait_description,notes
187,,1,0.392070485,NA,NA,0.163970588,1,4090,Cyprideis sp. A,genus,Cyprideis torosa,species,congener,Van Harten 1975,,,The Netherlands,North Holland West-Frisian Islands of Texel and Vlieland,brackish inland waters,body_length_max,NA,1.1,mm,mean adult length at 25C,Author suggested was probably Physa acuta
184,,1,0.136563877,NA,NA,0.074264706,1,4030,Isocypris sp. A,genus,Isocypris beauchampi,species,congener,Kulkoyluoglu 2002,,,Turkey,Bolu region,Lake Golkoy,body_length_max,NA,1.2,mm,maximum length of left value of male (slightly larger than female),NA
185,,1,0.31277533,NA,NA,0.116176471,1,4050,Candona sp. A,genus,Candona alchichica,species,congener,Cohuo et al 2016,,,Mexico,NA,Lake Alchichica,body_length_max,NA,1.3,mm,NA,NA
209,,1,NA,0.12803532,NA,0.063235294,0,4410,Uromunna sp. A,genus,Uromunna reynoldsi,species,congener,Schultz 1969,,,NA,NA,NA,body_length_max,NA,1.5,mm,NA,NA
205,,1,NA,0.150110375,NA,0.0625,0,4270,Sinelobus stanfordi,species,Sinelobus stanfordi,species,target,Gardiner 1975,,,NA,NA,NA,body_length_max,NA,3.6,mm,"male, female is 3.0 mm",NA
103,,1,0.202643172,NA,NA,0.072794118,1,2090,Dero trifida,species,Dero trifida,species,target,Righi and Hamoui 2002,,,Surinam,NA,NA,body_length_max,NA,3.8,mm,NA,body diameter: 225-282 um
167,,1,0.9030837,0.101545254,NA,0.335294118,0,3430,Manayunkia speciosa,species,Manayunkia eriensis,species,synonym,Pennak 1989,,,NA,NA,NA,body_length_max,NA,4,mm,NA,NA
270,,1,0.414096916,NA,NA,0.143382353,1,6750,Euglesa casertana,species,Pisidium spp.,genus,congener_synonym,Pennak 1989,,,NA,NA,NA,body_length_max,NA,4,mm,NA,NA
271,,1,0.396475771,NA,NA,0.136764706,1,6770,Euglesa compressa,species,Pisidium spp.,genus,congener_synonym,Pennak 1989,,,NA,NA,NA,body_length_max,NA,4,mm,NA,NA
255,,1,0.129955947,NA,NA,0.054411765,1,6530,Gyraulus circumstriatus,species,Gyraulus parvus,species,congener,Brown 1998,,,United States,Wisconsin,"Carrol Lake, Vilas County",body_length_max,NA,5,mm,NA,see Table 1 for measurement
197,,1,NA,0.545253863,0.697571744,0.416176471,0,4230,Nippoleucon hinumensis,species,Nippoleucon hinumensis,species,target,Gamo 1967,,,Japan,lbaraki Prefecture,"Lake Hinuma, a brackish water lake connected to the open sea through the River Hinuma",body_length_max,NA,5.5,mm,Female paratype.  The male holotype is 3.7 mm,NA
212,,1,NA,0.187637969,0.719646799,0.302205882,0,4550,Sinocorophium alienense,species,Sinocorophium alienense,species,target,Chapman 1988,,,United States,CA,San Francisco Estuary,body_length_max,NA,6.4,mm,female,NA
257,,1,0.167400881,NA,NA,0.069852941,1,6570,Physa sp. A,genus,Physa,genus,congener,Arendt 2015,,,US,CA,Riverside,body_length_max,NA,6.9,mm,NA,NA
222,,1,0.757709251,0.889624724,0.21192053,0.619852941,1,4610,Americorophium spinicorne,species,Americorophium spinicorne,species,target,Burdi et al. 2021,,,United States,CA,San Francisco Estuary,body_length_max,NA,7.5,mm,NA,samples from guts of field collected fish
231,,1,0.735682819,0.746136865,0.284768212,0.588970588,1,4630,Americorophium stimpsoni,species,Americorophium stimpsoni,species,target,Burdi et al. 2021,,,United States,CA,San Francisco Estuary,body_length_max,NA,7.8,mm,NA,samples from guts of field collected fish
207,,1,NA,0.231788079,NA,0.088235294,1,4350,Gnorimosphaeroma insulare,species,Gnorimosphaeroma insulare,species,target,Wetzer et al 2021,,,United States,CA,San Nicolas Island,body_length_max,NA,8,mm,NA,cited Menzies 1954 for size reference; relationship between total length (L) and dry weight (W) was described by the equation log W = 2.85 (log L) - 1.57 (Stanhope et al 1987)
210,,1,NA,NA,0.286975717,0.097794118,0,4510,Ampelisca abdita,species,Ampelisca abdita,species,target,Mills 1964,,,United States,Multiple,Eastern North America,body_length_max,NA,8.2,mm,NA,NA
208,,1,NA,0.14790287,NA,0.066911765,1,4370,Gnorimosphaeroma oregonense,species,Gnorimosphaeroma oregonense,species,target,Wetzer et al 2021,,,Canada,British Columbia,"Vancouver, Stanley Park",body_length_max,NA,8.5,mm,male,NA
102,,1,0.321585903,0.169977925,NA,0.175,1,1230,Dorylaimus sp. A,genus,Dorylaimus,genus,congener,Andrassy 2009,,,NA,NA,NA,body_length_max,NA,9,mm,NA,NA
137,,1,NA,NA,0.538631347,0.205147059,1,2720,Tubificoides heterochaetus,species,Tubificoides heterochaetus,species,target,Timm and Martin 2019,,,NA,NA,NA,body_length_max,NA,9,mm,NA,NA
73,Nick,1,0.105726872,NA,NA,0.043382353,0,4740,Crangonyx floridanus,species,Crangonyx floridanus,species,target,Holsinger 1972,NEMESIS,,United States,Florida,multiple,body_length_max,NA,10,mm,female max length; male max length 8 mm,
250,,1,0.295154185,0.119205298,NA,0.138970588,1,4810,Hyalella sp. A,genus,Hyalella,genus,target,Burdi et al. 2021,,,United States,CA,San Francisco Estuary,body_length_max,NA,10,mm,NA,samples from guts of field collected fish
148,,1,0.290748899,NA,NA,0.101470588,1,2840,Altmanella freidris,species,Altmanella freidris,species,target,Brinkhurst and Jamieson 1971,,,NA,NA,NA,body_length_max,NA,12,mm,NA,NA
152,,1,NA,0.514348786,0.196467991,0.238970588,0,3050,Boccardiella ligerica,species,Boccardiella ligerica,species,target,Blake and Woodwick 1971,,,Netherlands,NA,Zuider Zee,body_length_max,NA,12,mm,NA,NA
160,,1,NA,NA,0.214128035,0.072058824,0,3090,Pseudopolydora kempi,species,Pseudopolydora kempi,species,target,Light 1978,,,US,CA,San Francisco Estuary,body_length_max,NA,12,mm,average length for SFE; 22 mm for Japan (Sato-Okoshi 2000),Probably a complex of species
253,,1,0.218061674,NA,NA,0.1,1,5410,Procladius sp. A,genus,Procladius denticulatus,species,congener,Bath and Anderson 1969,,,United States,CA,Southern CA,body_length_max,NA,12,mm,NA,NA
256,,1,0.101321586,NA,NA,0.042647059,1,6565,Helisoma anceps,species,Helisoma anceps,species,target,Hung et al 2018,,,United States,California,San Francisco Estuary,body_length_max,1,12,mm,,Boerger 1975 cited in this paper has length-weight relationships for this species
242,,1,0.751101322,0.841059603,0.337748344,0.643382353,0,4750,Gammarus daiberi,species,Gammarus daiberi,species,target,Bousfield 1969,,,United States,Multiple,Estuaries in Middle Atlantic Region,body_length_max,NA,12.5,mm,male.  Females are 6-8 mm,NA
105,,1,0.707048458,0.185430464,NA,0.298529412,1,2410,Aulodrilus limnobius,species,Aulodrilus limnobius,species,target,Timm and Martin 2019,,,NA,NA,NA,body_length_max,NA,15,mm,NA,NA
139,,1,0.916299559,0.91611479,0.298013245,0.710294118,0,2730,Varichaetadrilus angustipenis,species,Varichaetadrilus angustipenis,species,target,Brinkhurst and Jamieson 1971,,,NA,NA,NA,body_length_max,NA,15,mm,NA,NA
176,,1,0.539647577,0.737306843,0.390728477,0.555882353,0,3450,Laonome calida,species,Laonome calida,species,target,Capa et al. 2014,,,Netherlands,NA,Eijsden,body_length_max,NA,15,mm,NA,body width: 0.5-0.8 mm
254,,1,0.140969163,NA,NA,0.058823529,1,5550,Cryptochironomus sp. A,genus,Cryptochironomus,genus,congener,Curry 1958,,,United States,Michigan,NA,body_length_max,NA,15,mm,NA,NA
195,,1,NA,0.136865342,0.395143488,0.177205882,0,4150,Amphibalanus improvisus,species,Amphibalanus improvisus,species,target,Henry and McLauglin 1975,,,NA,NA,NA,body_length_max,NA,17,mm,Maximum adult width,NA
100,,1,0.171806167,NA,NA,0.070588235,1,1010,Girardia tigrina,species,Girardia tigrina,species,target,Ball and Reynoldson 1981,,,NA,NA,NA,body_length_max,NA,18,mm,NA,NA
104,,1,0.13876652,NA,NA,0.053676471,1,2270,Slavina appendiculata,species,Slavina appendiculata,species,target,Timm and Martin 2019,,,NA,NA,NA,body_length_max,NA,20,mm,NA,NA
119,,1,0.715859031,NA,NA,0.269852941,1,2510,Ilyodrilus frantzi,species,Ilyodrilus frantzi,species,target,Timm and Martin 2019,,,NA,NA,NA,body_length_max,NA,20,mm,NA,NA
161,,1,NA,NA,0.158940397,0.054411765,0,3110,Streblospio benedicti,species,Streblospio benedicti,species,target,Bridges and Heppell 1996,,,NA,NA,NA,body_length_max,NA,20,mm,< 20 mm,NA
251,,1,NA,0.163355408,NA,0.072058824,0,4950,Rhithropanopeus harrisii,species,Rhithropanopeus harrisii,species,target,Williams 1984,,,NA,NA,NA,body_length_max,NA,21.3,mm,male max width.  Female is 16 mm,NA
240,,1,NA,0.229580574,0.474613687,0.234558824,0,4670,Grandidierella japonica,species,Grandidierella japonica,species,target,Chapman and Dorman 1975,,,NA,NA,NA,body_length_max,NA,22,mm,"male, female is 13 mm",NA
107,,1,0.623348018,NA,NA,0.223529412,1,2450,Aulodrilus japonicus,species,Aulodrilus japonicus,species,target,Timm and Martin 2019,,,NA,NA,NA,body_length_max,NA,25,mm,NA,NA
206,,1,NA,0.103752759,0.258278146,0.120588235,0,4310,Synidotea laticauda,species,Synidotea laticauda,species,target,Cuesta et al. 1996,,,Spain,NA,NA,body_length_max,NA,25.3,mm,"probably male (Japan); female, 16 mm (Netherlands, Faasse 2011)",NA
274,,1,NA,0.735099338,0.834437086,0.522794118,0,6890,Potamocorbula amurensis,species,Potamocorbula amurensis,species,target,Carlton et al. 1990,,,NA,NA,Asia,body_length_max,NA,27.5,mm,NA,NA
106,,1,0.154185022,NA,NA,0.055882353,1,2430,Aulodrilus pigueti,species,Aulodrilus pigueti,species,target,Brinkhurst and Jamieson 1971,,,NA,NA,NA,body_length_max,NA,28,mm,NA,NA
101,,1,0.806167401,0.492273731,NA,0.445588235,1,1130,Prostoma graecense,species,Prostoma graecense,species,target,Pennak 1989,,,NA,NA,NA,body_length_max,NA,30,mm,NA,NA
109,,1,0.931718062,0.761589404,NA,0.580147059,1,2470,Bothrioneurum vejdovskyanum,species,Bothrioneurum vejdovskyanum,species,target,Timm and Martin 2019,,,NA,NA,NA,body_length_max,NA,35,mm,NA,NA
135,,1,0.555066079,0.216335541,NA,0.257352941,1,2630,Quistadrilus multisetosus,species,Quistadrilus multisetosus,species,target,Timm and Martin 2019,,,NA,NA,NA,body_length_max,NA,35,mm,NA,NA
258,,1,0.59030837,0.289183223,NA,0.293382353,0,6630,Melanoides tuberculata,species,Melanoides tuberculata,species,target,Thompson 1989,,,NA,NA,NA,body_length_max,NA,36,mm,NA,NA
272,,1,NA,NA,0.51214128,0.189705882,0,6810,Macoma petalum,species,Macoma petalum,species,target,Gosner 1978,,,NA,NA,NA,body_length_max,NA,38,mm,NA,NA
136,,1,0.550660793,NA,NA,0.184558824,1,2650,Embolocephalus nikolskyi,species,Embolocephalus nikolskyi,species,target,Timm and Martin 2019,,,NA,NA,NA,body_length_max,NA,50,mm,NA,NA
150,,1,0.268722467,NA,NA,0.114705882,1,2970,Mooreobdella microstoma,species,Mooreobdella microstoma,species,target,Thorp and Covich 2001,,,NA,NA,NA,body_length_max,NA,50,mm,NA,NA
122,,1,0.854625551,0.80794702,0.626931567,0.763235294,1,2550,Limnodrilus hoffmeisteri,species,Limnodrilus hoffmeisteri,species,target,Timm and Martin 2019,,,NA,NA,NA,body_length_max,NA,60,mm,NA,NA
252,,1,NA,0.121412804,NA,0.043382353,1,5130,Stylurus olivaceus,species,Stylurus spiniceps,species,congener,Dragonflies of North America,,,NA,NA,NA,body_length_max,1,60,mm,measured length from USGS Benthic Invert Trait Database; not necessarily maximum,"Of the four Stylurus species with naiad body length in USGS database, S. spiniceps was closest to S. olivacea in adult body length, with S. spiniceps a couple mm longer (and presumably naiad body length)"
260,,1,0.995594714,0.997792494,0.271523179,0.755147059,0,6730,Corbicula fluminea,species,Corbicula fluminea,species,target,McMahon 1983,,,NA,NA,NA,body_length_max,NA,60,mm,NA,NA
120,,1,0.244493392,0.196467991,NA,0.149264706,1,2530,Ilyodrilus templetoni,species,Ilyodrilus templetoni,species,target,Pennak 1989,,,NA,NA,NA,body_length_max,NA,65,mm,NA,NA
164,,1,0.568281938,0.651214128,0.260485651,0.493382353,1,3330,Hediste limnicola,species,Neanthes lighti,species,synonym,Smith 1950,NA,,United States,California,Salinas River,body_length_max,NA,65,mm,averaing about 40 mm,see Table 3 for measurements
134,,1,NA,0.264900662,NA,0.101470588,1,2610,Psammoryctides californianus,species,Psammoryctides californianus,species,target,Brinkhurst and Jamieson 1971,,,NA,NA,NA,body_length_max,NA,75,mm,NA,NA
133,,1,0.286343612,0.19205298,NA,0.161764706,1,2570,Limnodrilus udekemianus,species,Limnodrilus udekemianus,species,target,Brinkhurst and Jamieson 1971,,,NA,NA,NA,body_length_max,NA,90,mm,NA,NA
149,,1,0.211453744,NA,NA,0.071323529,1,2850,Lumbriculus variegatus,species,Lumbriculus variegatus,species,target,Brinkhurst and Jamieson 1971,,,NA,NA,NA,body_length_max,NA,100,mm,NA,NA
162,,1,NA,0.637969095,0.649006623,0.429411765,0,3130,Marenzelleria neglecta,species,Marenzelleria neglecta,species,target,Sikorski and Bick 2004,,,NA,NA,NA,body_length_max,NA,115,mm,NA,NA
165,,1,NA,NA,0.377483444,0.131617647,0,3370,Alitta succinea,species,Alitta succinea,species,target,Pettibone 1963,,,NA,NA,NA,body_length_max,NA,170,mm,NA,NA
163,,1,NA,NA,0.189845475,0.063235294,0,3170,Heteromastus filiformis,species,Heteromastus filiformis,species,target,Hutchings and Rainer 1982,,,NA,NA,North Sea,body_length_max,NA,180,mm,Specimens from the UK reach about 100 mm (Hayward and Ryland 1990); specimens from the US East Coast are about 40 mm (Hutchings and Rainier 1982),This is most likely a species complex
147,,1,0.444933921,NA,NA,0.167647059,1,2810,Sparganophilus tamesis,species,Sparganophilus tamesis,species,target,Brinkhurst and Jamieson 1971,,,NA,NA,NA,body_length_max,NA,200,mm,NA,NA
118,,1,0.328193833,NA,NA,0.127205882,0,2490,Branchiura sowerbyi,species,Branchiura sowerbyi,species,target,Timm and Martin 2019,,,NA,NA,NA,body_length_max,NA,270,mm,based on max of range for genus,NA
158,,1,NA,0.514348786,0.196467991,0.238970588,0,3050,Boccardiella ligerica,species,Boccardiella ligerica,species,target,Hempel 1957 cited in Wolff 1973,,,Germany,NA,NA,feeding_position,1,F,categorical,plankton under 600 um diameter; possibly also CG on debris,NA
44,Leela,1,NA,NA,0.158940397,0.054411765,0,3110,Streblospio benedicti,species,Streblospio benedicti,species,target,Nichols and Thompson 1985,NEMESIS,,United States,California,San Francisco Estuary,feeding_position,NA,F,categorical,also surface deposit feeder,
46,Leela,0,NA,0.637969095,0.649006623,0.429411765,0,3130,Marenzelleria neglecta,species,Marenzelleria neglecta,species,target,Dauer 1997,NEMESIS,,,,,feeding_position,NA,F,categorical,also a surface deposit feeder,
173,,1,0.9030837,0.101545254,NA,0.335294118,0,3430,Manayunkia speciosa,species,Manayunkia speciosa,species,target,Willson et al 2010,,,United States,CA and OR,multiple rivers and creeks,feeding_position,1,F,categorical,uses tentacles to collect particles passing by tube; probably also deposit feeds (D),NA
182,,1,0.539647577,0.737306843,0.390728477,0.555882353,0,3450,Laonome calida,species,Laonome calida,species,target,Jones et al 2009,,,United States,CA,San Francisco Bay,feeding_position,1,F,categorical,NA,NA
58,Nick,1,NA,0.136865342,0.395143488,0.177205882,0,4150,Amphibalanus improvisus,species,Amphibalanus improvisus,species,target,Hindenberg et al 2022,NEMESIS,,Germany,,Baltic Sea,feeding_position,NA,F,categorical,"gather phtyo, zoop, detritus",
70,Nick,1,NA,NA,0.286975717,0.097794118,0,4510,Ampelisca abdita,species,Ampelisca abdita,species,target,Nichols and Thompson 1985,NEMESIS,,United States,California,San Francisco Estuary,feeding_position,NA,F,categorical,also deposit feeder ,has two generations per year in South Bay
218,,1,NA,0.187637969,0.719646799,0.302205882,0,4550,Sinocorophium alienense,species,Corophium alienense,species,synonym,Jones et al. 2009,,,NA,NA,NA,feeding_position,1,F,categorical,"suspension feeder, and surface deposit feeder. Significant grazer in san francisco bay",NA
228,,1,0.757709251,0.889624724,0.21192053,0.619852941,1,4610,Americorophium spinicorne,species,Corophium spinicorne,species,synonym,Hiebert et al 2016,,,United States,NA,NA,feeding_position,1,F,categorical,"A detritovore, ingesting particulate organic matter. can also suspension feed by filtering with second gnathopod.","(Sakamaki and Richardson 2009) A. spinicorne sorts material with filtering gnathopods.  Abdominal appendages create a water current that is filtered by the fine hairs on the gnathopods, and the filtrate is then scraped off and ingested (Miller 1984; Kozloff 1993)"
237,,1,0.735682819,0.746136865,0.284768212,0.588970588,1,4630,Americorophium stimpsoni,species,Corophium sp.,genus,confamiliar,Miller 1984,,,NA,NA,NA,feeding_position,1,F,categorical,"the three species described will desposit and suspension feed. C. spinicorne, C. salmonis, C. insidiosum.",NA
72,Nick,1,NA,0.229580574,0.474613687,0.234558824,0,4670,Grandidierella japonica,species,Grandidierella japonica,species,target,Best et al. 2013,NEMESIS,,United States,California,Bodega Bay,feeding_position,NA,F,categorical,"feeds on detritus, benthic diatoms, and suspended particles ",
268,,1,0.995594714,0.997792494,0.271523179,0.755147059,0,6730,Corbicula fluminea,species,Corbicula fluminea,species,target,Cohen et al 1984,,,United States,Maryland,Potamac River,feeding_position,1,F,categorical,NA,NA
95,Nick,1,0.414096916,NA,NA,0.143382353,1,6750,Euglesa casertana,species,Euglesa casertana,species,target,Mouthon and Forcellini 2017,NA,,NA,NA,NA,feeding_position,NA,F,categorical,interstitial suspension feeders,
97,Nick,1,0.396475771,NA,NA,0.136764706,1,6770,Euglesa compressa,species,Euglesa compressa,species,target,Mouthon and Forcellini 2017,NA,,NA,NA,NA,feeding_position,NA,F,categorical,interstitial suspension feeders,
99,Nick,1,NA,NA,0.51214128,0.189705882,0,6810,Macoma petalum,species,Macoma balthica,species,congener,Thompson and Nichols 1988,NEMESIS,,United States,California,San Francisco Estuary,feeding_position,NA,F,categorical,"deposit-feeding in sediment, mostly on benthic microalgae, and suspension-feeding in the water column","Although the citation names it M. balthica, it is probably the target species M. petalum"
281,,1,NA,0.735099338,0.834437086,0.522794118,0,6890,Potamocorbula amurensis,species,Potamocorbula amurensis,species,target,Nichols et al. 1990,,,United States,California,San Francisco Bay,feeding_position,1,F,categorical,NA,NA
6,Leela,1,0.321585903,0.169977925,NA,0.175,1,1230,Dorylaimus sp. A,genus,Dorylaimus spp.,genus,target,Shafqat et al 1987,NA,,,,,feeding_position,NA,Po,categorical,the dorylaim predators derive their food also from algae and fungi besides feeding on nematodes and hence are consideredomnivorous ,
52,Nick,1,NA,NA,0.377483444,0.131617647,0,3370,Alitta succinea,species,Neanthes succinea,species,synonym,de Oliveira et al 2012,NEMESIS,,,,,feeding_position,NA,Po,categorical,"despite large jaws, the family Nereididae is mostly omnivorous, feeding on algae, detritus, small invertebrates and carrion ",
62,Nick,1,NA,0.103752759,0.258278146,0.120588235,0,4310,Synidotea laticauda,species,Synidotea laticauda,species,target,Menzies and Miller 1972,NEMESIS,,United States,California,San Francisco Estuary,feeding_position,NA,Po,categorical,"Polychaetes, bryozoans, isopods, algae, carrion",
64,Nick,1,NA,0.231788079,NA,0.088235294,1,4350,Gnorimosphaeroma insulare,species,Gnorimosphaeroma insulare,species,target,Stanhope et al 1987,NA,,Canada,British Columbia,Squamish Estuary,feeding_position,NA,Po,categorical,"Algae, aquatic macrophytes, and fungi",
66,Nick,1,NA,0.14790287,NA,0.066911765,1,4370,Gnorimosphaeroma oregonense,species,Gnorimosphaeroma oregonense,species,target,Zimmer et al 2001,NA,,Canada,British Columbia,Vancouver Island,feeding_position,NA,Po,categorical,"feeding ecology poorly known but does feed on algae; could be herbivore, omnivore or shredder",
75,Nick,1,0.105726872,NA,NA,0.043382353,0,4740,Crangonyx floridanus,species,Crangonyx floridanus,species,target,Tojo et al 2010,NEMESIS,,Japan,,,feeding_position,NA,Po,categorical,"probably omnivorous, like many free-living gammarids, feeding on algae, detritus, and occasionally on invertebrates and carrion",
248,,1,0.751101322,0.841059603,0.337748344,0.643382353,0,4750,Gammarus daiberi,species,Gammarus spp.,genus,congener,Barnes 1983,NEMESIS,,NA,NA,NA,feeding_position,1,Po,categorical," feeding on algae, aquatic plants, and occasional invertebrates",NA
77,Nick,1,0.295154185,0.119205298,NA,0.138970588,1,4810,Hyalella sp. A,genus,Hyalella azteca,species,congener,Strong 1972,NA,,United States,Oregon,multiple,feeding_position,NA,Po,categorical,"eat fungus, bacteria, rotting plant and animal matter",
79,Nick,1,NA,0.163355408,NA,0.072058824,0,4950,Rhithropanopeus harrisii,species,Rhithropanopeus harrisii,species,target,Aarnio et al. 2015,NEMESIS,,NA,NA,Baltic Sea,feeding_position,NA,Po,categorical,"omnivorous eating detritus, plants, animals",see Table 5 for trait info
2,Leela,1,0.171806167,NA,NA,0.070588235,1,1010,Girardia tigrina,species,Giardia anceps,genus,congener,Cazzaniga et al 2002,NA,,Argentina,,,feeding_position,NA,Pc,categorical,"freshwater planarians are carnivores that generally feed on living, dying or recently dead invertebrates",
4,Leela,1,0.806167401,0.492273731,NA,0.445588235,1,1130,Prostoma graecense,species,Prostoma graecense,genus,congener,Cook and Herrmann 1997,NA,,United States,Colorado,Bogg's Creek,feeding_position,NA,Pc,categorical,,
40,Nick,1,0.268722467,NA,NA,0.114705882,1,2970,Mooreobdella microstoma,species,Dina microstoma,species,synonym,Herrmann 1970,NA,,United States,Colorado,,feeding_position,NA,Pc,categorical,"eats snails, chironomids, tubificids; Gee 1913 says scavenges on dead animals (fish, snails, crayfish, etc)",
81,Nick,1,NA,0.121412804,NA,0.043382353,1,5130,Stylurus olivaceus,species,Stylurus olivaceus,species,target,Cannings 2003,NA,,Canada,British Columbia,,feeding_position,NA,Pc,categorical,"consume bottom-dwelling invertebrates
such as chironomids, tubificid worms and burrowing
mayflies",
83,Nick,1,0.218061674,NA,NA,0.1,1,5410,Procladius sp. A,genus,Procladius,genus,congener,Roback 1980,NA,,Eastern United States,,,feeding_position,NA,Pc,categorical," voracious predators,
feeding primarily on Cladocera, Ostracoda, Hydracarina, Copepoda and other Chironomida",
85,Nick,1,0.140969163,NA,NA,0.058823529,1,5550,Cryptochironomus sp. A,genus,Cryptochironomus ,genus,congener,Curry 1958,NA,,United States,Michigan,multiple,feeding_position,NA,Pc,categorical,generally considered carnivorous feeding on other benthic inverts using formidable mandibles,
8,Nick,1,0.202643172,NA,NA,0.072794118,1,2090,Dero trifida,species,Dero trifida,species,target,Loden 1979,NA,,United States,North Carolina,Cape Fear River,feeding_position,NA,Sb,categorical,,
10,Leela,1,0.13876652,NA,NA,0.053676471,1,2270,Slavina appendiculata,species,Slavina appendiculata,species,target,Towns 1981,NA,field,New Zealand,North Island of New Zealand,Waitakere River ,feeding_position,NA,Sb,categorical,,"population found near decayed periohyton rather than living algae, location thought to be associated with diet"
12,Nick,1,0.707048458,0.185430464,NA,0.298529412,1,2410,Aulodrilus limnobius,species,Aulodrilus japonicus,species,congener,Timm 2020,NA,lab,Estonia,,,feeding_position,NA,Sb,categorical,,
14,Nick,1,0.154185022,NA,NA,0.055882353,1,2430,Aulodrilus pigueti,species,Aulodrilus japonicus,species,congener,Timm 2020,NA,lab,Estonia,,,feeding_position,NA,Sb,categorical,,
16,Nick,1,0.623348018,NA,NA,0.223529412,1,2450,Aulodrilus japonicus,species,Aulodrilus japonicus,species,target,Timm 2020,NA,lab,Estonia,,,feeding_position,NA,Sb,categorical,,
116,,1,0.931718062,0.761589404,NA,0.580147059,1,2470,Bothrioneurum vejdovskyanum,species,Bothrioneurum vejdovskyanum,species,target,Timm 2020,,,Estonia,NA,NA,feeding_position,1,Sb,categorical,NA,NA
18,Nick,1,0.328193833,NA,NA,0.127205882,0,2490,Branchiura sowerbyi,species,Branchiura sowerbyi,species,target,Carroll and Dorris,NA,field,United States,Oklahoma,,feeding_position,NA,Sb,categorical,,
20,Nick,1,0.715859031,NA,NA,0.269852941,1,2510,Ilyodrilus frantzi,species,Ilyodrilus frantzi,species,target,Chapman and Mitchell 1986,NA,,United States,Oregon,Columbia River,feeding_position,NA,Sb,categorical,,
