taxon_name,empire,kingdom,phylum,class,order,family,species
Chroococcus,Prokaryota,Bacteria,Cyanobacteria,Cyanophyceae,Chroococcales,Chroococcaceae,limneticus
Chroococcus,Prokaryota,Bacteria,Cyanobacteria,Cyanophyceae,Chroococcales,Chroococcaceae,microscopicus
Chroococcus,Prokaryota,Bacteria,Cyanobacteria,Cyanophyceae,Chroococcales,Chroococcaceae,mimimus
Chroococcus,Prokaryota,Bacteria,Cyanobacteria,Cyanophyceae,Chroococcales,Chroococcaceae,minutus
Chroococcus,Prokaryota,Bacteria,Cyanobacteria,Cyanophyceae,Chroococcales,Chroococcaceae,planctonicus
Cocconeis,Eukaryota,Chromista,Heterokontophyta,Bacillariophyeae,Achnanthales,Cocconeidaceae,pediculus
Cocconeis,Eukaryota,Chromista,Heterokontophyta,Bacillariophyeae,Achnanthales,Cocconeidaceae,placentula
Cocconeis,Eukaryota,Chromista,Heterokontophyta,Bacillariophyeae,Achnanthales,Cocconeidaceae,sp.
Cryptomonas,Eukaryota,Chromista,Cryptista,Cryptophyceae,Cryptomonadales,Cryptomonadaceae,curvata
Cryptomonas,Eukaryota,Chromista,Cryptista,Cryptophyceae,Cryptomonadales,Cryptomonadaceae,erosa
Cryptomonas,Eukaryota,Chromista,Cryptista,Cryptophyceae,Cryptomonadales,Cryptomonadaceae,marssonii
Cryptomonas,Eukaryota,Chromista,Cryptista,Cryptophyceae,Cryptomonadales,Cryptomonadaceae,ovata
Cryptomonas,Eukaryota,Chromista,Cryptista,Cryptophyceae,Cryptomonadales,Cryptomonadaceae,sp.
Cyclotella,Eukaryota,Chromista,Heterokontophyta,Mediophyceae,Stephanodiscales,Stephanodiscaceae,distinguenda
Cyclotella,Eukaryota,Chromista,Heterokontophyta,Mediophyceae,Stephanodiscales,Stephanodiscaceae,glomerata
Cyclotella,Eukaryota,Chromista,Heterokontophyta,Mediophyceae,Stephanodiscales,Stephanodiscaceae,meneghiniana
Cyclotella,Eukaryota,Chromista,Heterokontophyta,Mediophyceae,Stephanodiscales,Stephanodiscaceae,sp.
Cyclotella,Eukaryota,Chromista,Heterokontophyta,Mediophyceae,Stephanodiscales,Stephanodiscaceae,striata
Entomoneis,Eukaryota,Chromista,Heterokontophyta,Bacillariophyceae,Surirellales,Entomoneidaceae,paludosa
Entomoneis,Eukaryota,Chromista,Heterokontophyta,Bacillariophyceae,Surirellales,Entomoneidaceae,sp.
Fragilaria,Eukaryota,Chromista,Heterokontophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,brevistriata
Fragilaria,Eukaryota,Chromista,Heterokontophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,crotonensis
Fragilaria,Eukaryota,Chromista,Heterokontophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,sp.
Fragilaria,Eukaryota,Chromista,Heterokontophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,vaucheriae
Melosira,Eukaryota,Chromista,Heterokontophyta,Coscinodiscophyceae,Melosirales,Melosiraceae,herzogil 
Melosira,Eukaryota,Chromista,Heterokontophyta,Coscinodiscophyceae,Melosirales,Melosiraceae,islandica
Melosira,Eukaryota,Chromista,Heterokontophyta,Coscinodiscophyceae,Melosirales,Melosiraceae,italica
Melosira,Eukaryota,Chromista,Heterokontophyta,Coscinodiscophyceae,Melosirales,Melosiraceae,lineata
Melosira,Eukaryota,Chromista,Heterokontophyta,Coscinodiscophyceae,Melosirales,Melosiraceae,sp.
Melosira,Eukaryota,Chromista,Heterokontophyta,Coscinodiscophyceae,Melosirales,Melosiraceae,sulcata
Melosira,Eukaryota,Chromista,Heterokontophyta,Coscinodiscophyceae,Melosirales,Melosiraceae,varians
Navicula,Eukaryota,Chromista,Heterokontophyta,Bacillariophyceae,Naviculales,Naviculaceae,antonii
Navicula,Eukaryota,Chromista,Heterokontophyta,Bacillariophyceae,Naviculales,Naviculaceae,bacillum
Navicula,Eukaryota,Chromista,Heterokontophyta,Bacillariophyceae,Naviculales,Naviculaceae,capitatoradiata
Navicula,Eukaryota,Chromista,Heterokontophyta,Bacillariophyceae,Naviculales,Naviculaceae,caroliniae
Navicula,Eukaryota,Chromista,Heterokontophyta,Bacillariophyceae,Naviculales,Naviculaceae,cincta
Navicula,Eukaryota,Chromista,Heterokontophyta,Bacillariophyceae,Naviculales,Naviculaceae,confervacea
Navicula,Eukaryota,Chromista,Heterokontophyta,Bacillariophyceae,Naviculales,Naviculaceae,eileeniae
Navicula,Eukaryota,Chromista,Heterokontophyta,Bacillariophyceae,Naviculales,Naviculaceae,erifuga
Navicula,Eukaryota,Chromista,Heterokontophyta,Bacillariophyceae,Naviculales,Naviculaceae,exigua
Navicula,Eukaryota,Chromista,Heterokontophyta,Bacillariophyceae,Naviculales,Naviculaceae,gregaria
Navicula,Eukaryota,Chromista,Heterokontophyta,Bacillariophyceae,Naviculales,Naviculaceae,lanceolata
Navicula,Eukaryota,Chromista,Heterokontophyta,Bacillariophyceae,Naviculales,Naviculaceae,radiosa
Navicula,Eukaryota,Chromista,Heterokontophyta,Bacillariophyceae,Naviculales,Naviculaceae,rostellata
Navicula,Eukaryota,Chromista,Heterokontophyta,Bacillariophyceae,Naviculales,Naviculaceae,sp.
Navicula,Eukaryota,Chromista,Heterokontophyta,Bacillariophyceae,Naviculales,Naviculaceae,tripunctata
Navicula,Eukaryota,Chromista,Heterokontophyta,Bacillariophyceae,Naviculales,Naviculaceae,viridula
Nitzschia,Eukaryota,Chromista,Heterokontophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,acicularis
Nitzschia,Eukaryota,Chromista,Heterokontophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,antonii
Nitzschia,Eukaryota,Chromista,Heterokontophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,brevissima
Nitzschia,Eukaryota,Chromista,Heterokontophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,desertorum
Nitzschia,Eukaryota,Chromista,Heterokontophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,dissipata
Nitzschia,Eukaryota,Chromista,Heterokontophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,fonticola
Nitzschia,Eukaryota,Chromista,Heterokontophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,frustulum
Nitzschia,Eukaryota,Chromista,Heterokontophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,fruticosa
Nitzschia,Eukaryota,Chromista,Heterokontophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,gracilis
Nitzschia,Eukaryota,Chromista,Heterokontophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,incerta
Nitzschia,Eukaryota,Chromista,Heterokontophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,incognita
Nitzschia,Eukaryota,Chromista,Heterokontophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,inconspicua
Nitzschia,Eukaryota,Chromista,Heterokontophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,liebetruthii
Nitzschia,Eukaryota,Chromista,Heterokontophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,linearis
Nitzschia,Eukaryota,Chromista,Heterokontophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,longissima
Nitzschia,Eukaryota,Chromista,Heterokontophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,minuta
Nitzschia,Eukaryota,Chromista,Heterokontophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,palea
Nitzschia,Eukaryota,Chromista,Heterokontophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,parvula
Nitzschia,Eukaryota,Chromista,Heterokontophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,pura
Nitzschia,Eukaryota,Chromista,Heterokontophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,sigma
Nitzschia,Eukaryota,Chromista,Heterokontophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,sigmoidea
Nitzschia,Eukaryota,Chromista,Heterokontophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,sociabilis
Nitzschia,Eukaryota,Chromista,Heterokontophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,sp.
Nitzschia,Eukaryota,Chromista,Heterokontophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,tryblionella
Nitzschia,Eukaryota,Chromista,Heterokontophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,tubicola
Plagioselmis,Eukaryota,Chromista,Cryptista,Cryptophyceae,Pyrenomonadales,Germinigeraceae,lacustris
Plagioselmis,Eukaryota,Chromista,Cryptista,Cryptophyceae,Pyrenomonadales,Germinigeraceae,nannoplanctica
Plagioselmis,Eukaryota,Chromista,Cryptista,Cryptophyceae,Pyrenomonadales,Germinigeraceae,prolonga
Plagioselmis,Eukaryota,Chromista,Cryptista,Cryptophyceae,Pyrenomonadales,Germinigeraceae,sp.
Scenedesmus,Eukaryota,Plantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,acuminatus
Scenedesmus,Eukaryota,Plantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,armatus
Scenedesmus,Eukaryota,Plantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,bicaudatus
Scenedesmus,Eukaryota,Plantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,dimorphus
Scenedesmus,Eukaryota,Plantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,ellipticus
Scenedesmus,Eukaryota,Plantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,falcatus
Scenedesmus,Eukaryota,Plantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,intermedius
Scenedesmus,Eukaryota,Plantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,obtusus
Scenedesmus,Eukaryota,Plantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,quadricauda
Scenedesmus,Eukaryota,Plantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,semipulcher
Scenedesmus,Eukaryota,Plantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,sp.
Scenedesmus,Eukaryota,Plantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,subspicatus
Skeletonema,Eukaryota,Chromista,Heterokontophyta,Mediophyceae,Thalasssiosirales,Skeletonemataceae,costatum
Skeletonema,Eukaryota,Chromista,Heterokontophyta,Mediophyceae,Thalasssiosirales,Skeletonemataceae,potamos
Skeletonema,Eukaryota,Chromista,Heterokontophyta,Mediophyceae,Thalasssiosirales,Skeletonemataceae,sp.
Synechococcus,Prokaryota,Bacteria,Cyanobacteria,Cyanophyceae,Synechococccales,synechococcaceae,aquatilis
Synechococcus,Prokaryota,Bacteria,Cyanobacteria,Cyanophyceae,Synechococccales,synechococcaceae,nidulans
Synechococcus,Prokaryota,Bacteria,Cyanobacteria,Cyanophyceae,Synechococccales,synechococcaceae,salinarum
Synechococcus,Prokaryota,Bacteria,Cyanobacteria,Cyanophyceae,Synechococccales,synechococcaceae,sp.
Synedra,Eukaryota,Chromista,Heterokontophyta,Bacilliariophyceae,Fragilariales,Fragilariaceae,acus
Synedra,Eukaryota,Chromista,Heterokontophyta,Bacilliariophyceae,Fragilariales,Fragilariaceae,famelica
Synedra,Eukaryota,Chromista,Heterokontophyta,Bacilliariophyceae,Fragilariales,Fragilariaceae,sp.
Synedra,Eukaryota,Chromista,Heterokontophyta,Bacilliariophyceae,Fragilariales,Fragilariaceae,ulna
Thalassiosira,Eukaryota,Chromista,Heterokontophyta,Mediophyceae,Thalassiosirales,Thalassiosiraceae,decipiens
Thalassiosira,Eukaryota,Chromista,Heterokontophyta,Mediophyceae,Thalassiosirales,Thalassiosiraceae,eccentrica
Thalassiosira,Eukaryota,Chromista,Heterokontophyta,Mediophyceae,Thalassiosirales,Thalassiosiraceae,sp.
Thalassiosira,Eukaryota,Chromista,Heterokontophyta,Mediophyceae,Thalassiosirales,Thalassiosiraceae,tenera
