taxon_name,trait_category,trait,trait_value,trait_unit,trait_description,citation
Chlamydomonas,ecological ,mobility  ,m,categorical,"the ability of the cell to self propel in some way: mobile (m), nonmobile (n)",Wehr et al. 2015
Chlamydomonas,ecological ,water type ,fm,categorical,"freshwater (f), marine water (m), estuarine water (e)",Wehr et al. 2015
Chlamydomonas,ecological ,habitat ,pb,categorical,"planktonic (p), benthic (b)",Wehr et al. 2015
Chlamydomonas,ecological ,diatom guild,NA,categorical,"diatom guild index as high profile (h), low profile (l), motile (m), planktic (p); nondiatoms are listed as NA",
Chlamydomonas,physiological,optimum ammonium concentration,0.16,mg/L,average dissolved ammoniuim concentration measured for daily abundance values above the third quartile ,computed from dataset
Chlamydomonas,physiological,optimum nitrate concentration,0.73,mg/L,average nitrate plus nitrite concentration measured for daily abundance values above the third quartile ,computed from dataset
Chlamydomonas,physiological,optimum dissolved organic nitrogen concentration,0.3,mg/L,average dissolved organic nitrogen measured for daily abundance values above the third quartile ,computed from dataset
Chlamydomonas,physiological,optimum dissolved orthophosphate concentration,0.11,mg/L,average dissolved orthophosphate concentration measured for daily abundance values above the third quartile ,computed from dataset
Chlamydomonas,physiological,optimum total phosphate concentration,0.16,mg/L,average total phosphate concentration measured for daily abundance values above the third quartile ,computed from dataset
Chlamydomonas,physiological,optimum silica concentration,13.89,mg/L,average silica concentration measured for daily abundance values above the third quartile ,computed from dataset
Chlamydomonas,physiological,optimum Secchi disk depth ,82.68,cm,average Secchi disk depth measured for daily abundance values above the third quartile ,computed from dataset
Chlamydomonas,physiological,optimum specific conductance ,1310,uS/cm,average specific conductance measured for daily abundance values above the third quartile ,computed from dataset
Chlamydomonas,physiological,optimum water temperature ,18.72,oC,average water temperature measured for daily abundance values above the third quartile ,computed from dataset
Chlamydomonas,physiological,optimum turbidity ,23.35,NTU,average turbidity measured for daily abundance values above the third quartile ,computed from dataset
Chlamydomonas,physiological,optimum outflow,638.736,m3/s,average Delta outflow measured for daily abundance values above the third quartile ,computed from dataset
Chlamydomonas,physiological,optimum San Joaquin River ,166.348,m3/s,average San Joaquin River streamflow measured for daily abundance values above the third quartile ,computed from dataset
Chroococcus,morphological,cell volume,430.81,um3,average daily cell volume for the genus ,computed from dataset
Chroococcus,morphological,GALD,3.68,um,average greatest axis linear dimention (GALD) of cells for the genus ,computed from dataset
Chroococcus,morphological,armour ,0,categorical,hard (1) or soft (0) body,Wehr et al. 2015
Chroococcus,morphological,attachment,up,categorical,"unattached (u), vertical (v), prostrate (p), tube forming (t)",Guiry and Guiry 2023
Chroococcus,morphological,pigment,ay,categorical,"chlorophyll a (a), chlorophyll b (b), chlorophyll c (c), fucoxanthin (f),  phycocyanin and phycoerythrin (y)",Wetzel 1975
Chroococcus,morphological,diatom size index,NA,rank,size categories based on benthic diatoms; nondiatoms are listed as NA,
Chroococcus,morphological,life form,sc,categorical,"chain or filament forming (f), solitary (s), aggregated or colonial (c) ",Wehr et al. 2015
Chroococcus,morphological,diatom life form,NA,categorical,"diatom life form index as mobile(m), colonial (c), non-colonial (n), pedunculate (p), adnate (a) ; nondiatoms are listed as NA",
Chroococcus,ecological ,mobility  ,n,categorical,"the ability of the cell to self propel in some way: mobile (m), nonmobile (n)",Wehr et al. 2015
Chroococcus,ecological ,water type ,fm,categorical,"freshwater (f), marine water (m), estuarine water (e)",Wehr et al. 2015
Chroococcus,ecological ,habitat ,b,categorical,"planktonic (p), benthic (b)",Wehr et al. 2015
Chroococcus,ecological ,diatom guild,NA,categorical,"diatom guild index as high profile (h), low profile (l), motile (m), planktic (p); nondiatoms are listed as NA",
Chroococcus,physiological,optimum ammonium concentration,0.06,mg/L,average dissolved ammoniuim concentration measured for daily abundance values above the third quartile ,computed from dataset
Chroococcus,physiological,optimum nitrate concentration,0.69,mg/L,average nitrate plus nitrite concentration measured for daily abundance values above the third quartile ,computed from dataset
Chroococcus,physiological,optimum dissolved organic nitrogen concentration,0.28,mg/L,average dissolved organic nitrogen measured for daily abundance values above the third quartile ,computed from dataset
Chroococcus,physiological,optimum dissolved orthophosphate concentration,0.19,mg/L,average dissolved orthophosphate concentration measured for daily abundance values above the third quartile ,computed from dataset
Chroococcus,physiological,optimum total phosphate concentration,0.2,mg/L,average total phosphate concentration measured for daily abundance values above the third quartile ,computed from dataset
Chroococcus,physiological,optimum silica concentration,12.74,mg/L,average silica concentration measured for daily abundance values above the third quartile ,computed from dataset
Chroococcus,physiological,optimum Secchi disk depth ,"130,20",cm,average Secchi disk depth measured for daily abundance values above the third quartile ,computed from dataset
Chroococcus,physiological,optimum specific conductance ,1675,uS/cm,average specific conductance measured for daily abundance values above the third quartile ,computed from dataset
Chroococcus,physiological,optimum water temperature ,23.44,oC,average water temperature measured for daily abundance values above the third quartile ,computed from dataset
Chroococcus,physiological,optimum turbidity ,15.69,NTU,average turbidity measured for daily abundance values above the third quartile ,computed from dataset
Chroococcus,physiological,optimum outflow,161.98,m3/s,average Delta outflow measured for daily abundance values above the third quartile ,computed from dataset
Chroococcus,physiological,optimum San Joaquin River ,22.568,m3/s,average San Joaquin River streamflow measured for daily abundance values above the third quartile ,computed from dataset
Cocconeis,morphological,cell volume,1110.92,um3,average daily cell volume for the genus ,computed from dataset
Cocconeis,morphological,GALD,19.02,um,average greatest axis linear dimention (GALD) of cells for the genus ,computed from dataset
Cocconeis,morphological,armour ,1,categorical,hard (1) or soft (0) body,Costa et al. 2019
Cocconeis,morphological,attachment,p,categorical,"unattached (u), vertical (v), prostrate (p), tube forming (t)",Grubaugh and Potapova 2012
Cocconeis,morphological,pigment,acf,categorical,"chlorophyll a (a), chlorophyll b (b), chlorophyll c (c), fucoxanthin (f),  phycocyanin and phycoerythrin (y)",Wetzel 1975
Cocconeis,morphological,diatom size index,C4,rank,size categories based on benthic diatoms; nondiatoms are listed as NA,Berthon et al. 2011
Cocconeis,morphological,life form,s,categorical,"chain or filament forming (f), solitary (s), aggregated or colonial (c) ",Costa et al. 2019
Cocconeis,morphological,diatom life form,amn,categorical,"diatom life form index as mobile(m), colonial (c), non-colonial (n), pedunculate (p), adnate (a) ; nondiatoms are listed as NA",Berthon et al. 2011; Rimet and Bouchez 2012; Riato et al. 2022
Cocconeis,ecological ,mobility  ,m,categorical,"the ability of the cell to self propel in some way: mobile (m), nonmobile (n)",Costa et al. 2019
Cocconeis,ecological ,water type ,f,categorical,"freshwater (f), marine water (m), estuarine water (e)",Costa et al. 2019
Cocconeis,ecological ,habitat ,b,categorical,"planktonic (p), benthic (b)",Costa et al. 2019
Cocconeis,ecological ,diatom guild,l,categorical,"diatom guild index as high profile (h), low profile (l), motile (m), planktic (p); nondiatoms are listed as NA",Passy 2007; Riato et al. 2022; Rimet and Bouchez 2012
Cocconeis,physiological,optimum ammonium concentration,0.19,mg/L,average dissolved ammoniuim concentration measured for daily abundance values above the third quartile ,computed from dataset
Cocconeis,physiological,optimum nitrate concentration,0.43,mg/L,average nitrate plus nitrite concentration measured for daily abundance values above the third quartile ,computed from dataset
Cocconeis,physiological,optimum dissolved organic nitrogen concentration,0.23,mg/L,average dissolved organic nitrogen measured for daily abundance values above the third quartile ,computed from dataset
Cocconeis,physiological,optimum dissolved orthophosphate concentration,0.06,mg/L,average dissolved orthophosphate concentration measured for daily abundance values above the third quartile ,computed from dataset
Cocconeis,physiological,optimum total phosphate concentration,0.1,mg/L,average total phosphate concentration measured for daily abundance values above the third quartile ,computed from dataset
Cocconeis,physiological,optimum silica concentration,15.88,mg/L,average silica concentration measured for daily abundance values above the third quartile ,computed from dataset
Cocconeis,physiological,optimum Secchi disk depth ,103.2,cm,average Secchi disk depth measured for daily abundance values above the third quartile ,computed from dataset
Cocconeis,physiological,optimum specific conductance ,847,uS/cm,average specific conductance measured for daily abundance values above the third quartile ,computed from dataset
Cocconeis,physiological,optimum water temperature ,17.01,oC,average water temperature measured for daily abundance values above the third quartile ,computed from dataset
Cocconeis,physiological,optimum turbidity ,24.92,NTU,average turbidity measured for daily abundance values above the third quartile ,computed from dataset
Cocconeis,physiological,optimum outflow,440.916,m3/s,average Delta outflow measured for daily abundance values above the third quartile ,computed from dataset
Cocconeis,physiological,optimum San Joaquin River ,69.244,m3/s,average San Joaquin River streamflow measured for daily abundance values above the third quartile ,computed from dataset
Cryptomonas,morphological,cell volume,1293.69,um3,average daily cell volume for the genus ,computed from dataset
Cryptomonas,morphological,GALD,16.77,um,average greatest axis linear dimention (GALD) of cells for the genus ,computed from dataset
Cryptomonas,morphological,armour ,0,categorical,hard (1) or soft (0) body,Wehr et al. 2015
Cryptomonas,morphological,attachment,u,categorical,"unattached (u), vertical (v), prostrate (p), tube forming (t)",Wehr et al. 2015; Guiry and Guiry 2023
Cryptomonas,morphological,pigment,acy,categorical,"chlorophyll a (a), chlorophyll b (b), chlorophyll c (c), fucoxanthin (f),  phycocyanin and phycoerythrin (y)",Wetzel 1975
Cryptomonas,morphological,diatom size index,NA,rank,size categories based on benthic diatoms; nondiatoms are listed as NA,
Cryptomonas,morphological,life form,sc,categorical,"chain or filament forming (f), solitary (s), aggregated or colonial (c) ", Guiry and Guiry  2023
Cryptomonas,morphological,diatom life form,NA,categorical,"diatom life form index as mobile(m), colonial (c), non-colonial (n), pedunculate (p), adnate (a) ; nondiatoms are listed as NA",
Cryptomonas,ecological ,mobility  ,m,categorical,"the ability of the cell to self propel in some way: mobile (m), nonmobile (n)",Wehr et al. 2015
Cryptomonas,ecological ,water type ,fme,categorical,"freshwater (f), marine water (m), estuarine water (e)",Wehr et al. 2015
Cryptomonas,ecological ,habitat ,p,categorical,"planktonic (p), benthic (b)",Wehr et al. 2015
Cryptomonas,ecological ,diatom guild,NA,categorical,"diatom guild index as high profile (h), low profile (l), motile (m), planktic (p); nondiatoms are listed as NA",
Cryptomonas,physiological,optimum ammonium concentration,0.12,mg/L,average dissolved ammoniuim concentration measured for daily abundance values above the third quartile ,computed from dataset
Cryptomonas,physiological,optimum nitrate concentration,0.67,mg/L,average nitrate plus nitrite concentration measured for daily abundance values above the third quartile ,computed from dataset
Cryptomonas,physiological,optimum dissolved organic nitrogen concentration,0.27,mg/L,average dissolved organic nitrogen measured for daily abundance values above the third quartile ,computed from dataset
Cryptomonas,physiological,optimum dissolved orthophosphate concentration,0.11,mg/L,average dissolved orthophosphate concentration measured for daily abundance values above the third quartile ,computed from dataset
Cryptomonas,physiological,optimum total phosphate concentration,0.15,mg/L,average total phosphate concentration measured for daily abundance values above the third quartile ,computed from dataset
Cryptomonas,physiological,optimum silica concentration,13.75,mg/L,average silica concentration measured for daily abundance values above the third quartile ,computed from dataset
Cryptomonas,physiological,optimum Secchi disk depth ,81.06,cm,average Secchi disk depth measured for daily abundance values above the third quartile ,computed from dataset
Cryptomonas,physiological,optimum specific conductance ,3658,uS/cm,average specific conductance measured for daily abundance values above the third quartile ,computed from dataset
Cryptomonas,physiological,optimum water temperature ,18.72,oC,average water temperature measured for daily abundance values above the third quartile ,computed from dataset
Cryptomonas,physiological,optimum turbidity ,22.07,NTU,average turbidity measured for daily abundance values above the third quartile ,computed from dataset
Cryptomonas,physiological,optimum outflow,427.728,m3/s,average Delta outflow measured for daily abundance values above the third quartile ,computed from dataset
Cryptomonas,physiological,optimum San Joaquin River ,116.844,m3/s,average San Joaquin River streamflow measured for daily abundance values above the third quartile ,computed from dataset
Cyclotella,morphological,cell volume,1541.98,um3,average daily cell volume for the genus ,computed from dataset
Cyclotella,morphological,GALD,9.82,um,average greatest axis linear dimention (GALD) of cells for the genus ,computed from dataset
Cyclotella,morphological,armour ,1,categorical,hard (1) or soft (0) body,Lowe and Manoylov 2011
Cyclotella,morphological,attachment,u,categorical,"unattached (u), vertical (v), prostrate (p), tube forming (t)",Lowe and Manoylov 2011
Cyclotella,morphological,pigment,acf,categorical,"chlorophyll a (a), chlorophyll b (b), chlorophyll c (c), fucoxanthin (f),  phycocyanin and phycoerythrin (y)",Wetzel 1975
Cyclotella,morphological,diatom size index,C5,rank,size categories based on benthic diatoms; nondiatoms are listed as NA,Berthon et al. 2011
Cyclotella,morphological,life form,s,categorical,"chain or filament forming (f), solitary (s), aggregated or colonial (c) ",Lowe and Manoylov 2011
Cyclotella,morphological,diatom life form,n,categorical,"diatom life form index as mobile(m), colonial (c), non-colonial (n), pedunculate (p), adnate (a) ; nondiatoms are listed as NA",Riato et al. 2022
Cyclotella,ecological ,mobility  ,n,categorical,"the ability of the cell to self propel in some way: mobile (m), nonmobile (n)",Lowe and Manoylov 2011
Cyclotella,ecological ,water type ,fme,categorical,"freshwater (f), marine water (m), estuarine water (e)",Wehr et al. 2015
Cyclotella,ecological ,habitat ,p,categorical,"planktonic (p), benthic (b)",Lowe and Manoylov 2011
Cyclotella,ecological ,diatom guild,p,categorical,"diatom guild index as high profile (h), low profile (l), motile (m), planktic (p); nondiatoms are listed as NA", Riato et al. 2022; Rimet and Bouchez 2012
Cyclotella,physiological,optimum ammonium concentration,0.14,mg/L,average dissolved ammoniuim concentration measured for daily abundance values above the third quartile ,computed from dataset
Cyclotella,physiological,optimum nitrate concentration,0.56,mg/L,average nitrate plus nitrite concentration measured for daily abundance values above the third quartile ,computed from dataset
Cyclotella,physiological,optimum dissolved organic nitrogen concentration,0.27,mg/L,average dissolved organic nitrogen measured for daily abundance values above the third quartile ,computed from dataset
Cyclotella,physiological,optimum dissolved orthophosphate concentration,0.1,mg/L,average dissolved orthophosphate concentration measured for daily abundance values above the third quartile ,computed from dataset
Cyclotella,physiological,optimum total phosphate concentration,0.14,mg/L,average total phosphate concentration measured for daily abundance values above the third quartile ,computed from dataset
Cyclotella,physiological,optimum silica concentration,14.24,mg/L,average silica concentration measured for daily abundance values above the third quartile ,computed from dataset
Cyclotella,physiological,optimum Secchi disk depth ,73.76,cm,average Secchi disk depth measured for daily abundance values above the third quartile ,computed from dataset
Cyclotella,physiological,optimum specific conductance ,2558,uS/cm,average specific conductance measured for daily abundance values above the third quartile ,computed from dataset
Cyclotella,physiological,optimum water temperature ,17.59,oC,average water temperature measured for daily abundance values above the third quartile ,computed from dataset
Cyclotella,physiological,optimum turbidity ,22.69,NTU,average turbidity measured for daily abundance values above the third quartile ,computed from dataset
Cyclotella,physiological,optimum outflow,578.228,m3/s,average Delta outflow measured for daily abundance values above the third quartile ,computed from dataset
Cyclotella,physiological,optimum San Joaquin River ,121.212,m3/s,average San Joaquin River streamflow measured for daily abundance values above the third quartile ,computed from dataset
Entomoneis,morphological,cell volume,3965,um3,average daily cell volume for the genus ,computed from dataset
Entomoneis,morphological,GALD,43.21,um,average greatest axis linear dimention (GALD) of cells for the genus ,computed from dataset
Entomoneis,morphological,armour ,1,categorical,hard (1) or soft (0) body,Wehr et al. 2015
Entomoneis,morphological,attachment,u,categorical,"unattached (u), vertical (v), prostrate (p), tube forming (t)",Bahls 2012
Entomoneis,morphological,pigment,acf,categorical,"chlorophyll a (a), chlorophyll b (b), chlorophyll c (c), fucoxanthin (f),  phycocyanin and phycoerythrin (y)",Wetzel 1975
Entomoneis,morphological,diatom size index,C5,rank,size categories based on benthic diatoms; nondiatoms are listed as NA,Berthon et al. 2011
Entomoneis,morphological,life form,s,categorical,"chain or filament forming (f), solitary (s), aggregated or colonial (c) ",Wehr et al. 2015
Entomoneis,morphological,diatom life form,an ,categorical,"diatom life form index as mobile(m), colonial (c), non-colonial (n), pedunculate (p), adnate (a) ; nondiatoms are listed as NA", Rimet and Bouchez 2012
Entomoneis,ecological ,mobility  ,m,categorical,"the ability of the cell to self propel in some way: mobile (m), nonmobile (n)",Wehr et al. 2015
Entomoneis,ecological ,water type ,m,categorical,"freshwater (f), marine water (m), estuarine water (e)",Wehr et al. 2015
Entomoneis,ecological ,habitat ,b,categorical,"planktonic (p), benthic (b)",Wehr et al. 2015
Entomoneis,ecological ,diatom guild,l,categorical,"diatom guild index as high profile (h), low profile (l), motile (m), planktic (p); nondiatoms are listed as NA",Passy 2007; Riato et al. 2022; Rimet and Bouchez 2012
Entomoneis,physiological,optimum ammonium concentration,0.09,mg/L,average dissolved ammoniuim concentration measured for daily abundance values above the third quartile ,computed from dataset
Entomoneis,physiological,optimum nitrate concentration,0.4,mg/L,average nitrate plus nitrite concentration measured for daily abundance values above the third quartile ,computed from dataset
Entomoneis,physiological,optimum dissolved organic nitrogen concentration,0.22,mg/L,average dissolved organic nitrogen measured for daily abundance values above the third quartile ,computed from dataset
Entomoneis,physiological,optimum dissolved orthophosphate concentration,0.06,mg/L,average dissolved orthophosphate concentration measured for daily abundance values above the third quartile ,computed from dataset
Entomoneis,physiological,optimum total phosphate concentration,0.1,mg/L,average total phosphate concentration measured for daily abundance values above the third quartile ,computed from dataset
Entomoneis,physiological,optimum silica concentration,14.66,mg/L,average silica concentration measured for daily abundance values above the third quartile ,computed from dataset
Entomoneis,physiological,optimum Secchi disk depth ,50.77,cm,average Secchi disk depth measured for daily abundance values above the third quartile ,computed from dataset
Entomoneis,physiological,optimum specific conductance ,5019,uS/cm,average specific conductance measured for daily abundance values above the third quartile ,computed from dataset
Entomoneis,physiological,optimum water temperature ,17.36,oC,average water temperature measured for daily abundance values above the third quartile ,computed from dataset
Entomoneis,physiological,optimum turbidity ,19,NTU,average turbidity measured for daily abundance values above the third quartile ,computed from dataset
Entomoneis,physiological,optimum outflow,337.624,m3/s,average Delta outflow measured for daily abundance values above the third quartile ,computed from dataset
Entomoneis,physiological,optimum San Joaquin River ,60.424,m3/s,average San Joaquin River streamflow measured for daily abundance values above the third quartile ,computed from dataset
Fragilaria,morphological,cell volume,691.8,um3,average daily cell volume for the genus ,computed from dataset
Fragilaria,morphological,GALD,19.88,um,average greatest axis linear dimention (GALD) of cells for the genus ,computed from dataset
Fragilaria,morphological,armour ,1,categorical,hard (1) or soft (0) body,Morales et al. 2013
Fragilaria,morphological,attachment,uv,categorical,"unattached (u), vertical (v), prostrate (p), tube forming (t)",Morales 2010; Morales et al. 2013
Fragilaria,morphological,pigment,acf,categorical,"chlorophyll a (a), chlorophyll b (b), chlorophyll c (c), fucoxanthin (f),  phycocyanin and phycoerythrin (y)",Wetzel 1975
Fragilaria,morphological,diatom size index,C4,rank,size categories based on benthic diatoms; nondiatoms are listed as NA,Berthon et al. 2011
Fragilaria,morphological,life form,sc,categorical,"chain or filament forming (f), solitary (s), aggregated or colonial (c) ",Wehr et al. 2015
Fragilaria,morphological,diatom life form,cp,categorical,"diatom life form index as mobile(m), colonial (c), non-colonial (n), pedunculate (p), adnate (a) ; nondiatoms are listed as NA",Berthon et al. 2011; Rimet and Bouchez 2012; Riato et al. 2022
Fragilaria,ecological ,mobility  ,n,categorical,"the ability of the cell to self propel in some way: mobile (m), nonmobile (n)",Morales et al. 2013
Fragilaria,ecological ,water type ,fm,categorical,"freshwater (f), marine water (m), estuarine water (e)",Morales et al. 2013
Fragilaria,ecological ,habitat ,pb,categorical,"planktonic (p), benthic (b)",Morales et al. 2013
Fragilaria,ecological ,diatom guild,h,categorical,"diatom guild index as high profile (h), low profile (l), motile (m), planktic (p); nondiatoms are listed as NA",Passy 2007; Riato et al. 2022; Rimet and Bouchez 2012
Fragilaria,physiological,optimum ammonium concentration,0.21,mg/L,average dissolved ammoniuim concentration measured for daily abundance values above the third quartile ,computed from dataset
Fragilaria,physiological,optimum nitrate concentration,0.34,mg/L,average nitrate plus nitrite concentration measured for daily abundance values above the third quartile ,computed from dataset
Fragilaria,physiological,optimum dissolved organic nitrogen concentration,0.23,mg/L,average dissolved organic nitrogen measured for daily abundance values above the third quartile ,computed from dataset
Fragilaria,physiological,optimum dissolved orthophosphate concentration,0.06,mg/L,average dissolved orthophosphate concentration measured for daily abundance values above the third quartile ,computed from dataset
Fragilaria,physiological,optimum total phosphate concentration,0.1,mg/L,average total phosphate concentration measured for daily abundance values above the third quartile ,computed from dataset
Fragilaria,physiological,optimum silica concentration,16.14,mg/L,average silica concentration measured for daily abundance values above the third quartile ,computed from dataset
Fragilaria,physiological,optimum Secchi disk depth ,97.25,cm,average Secchi disk depth measured for daily abundance values above the third quartile ,computed from dataset
Fragilaria,physiological,optimum specific conductance ,618,uS/cm,average specific conductance measured for daily abundance values above the third quartile ,computed from dataset
Fragilaria,physiological,optimum water temperature ,15.97,oC,average water temperature measured for daily abundance values above the third quartile ,computed from dataset
