organism_code,target_taxon_name,target_taxon_level,lit_taxon_name,lit_taxon_level,lit_taxon_type,citation,population_country,population_state,population_description,trait,trait_value_rank,trait_value,trait_unit,trait_description,notes
2550,Limnodrilus hoffmeisteri,species,Limnodrilus hoffmeisteri,species,target,Timm 2020,Estonia,NA,NA,feeding_position,1,Sb,categorical,NA,NA
2550,Limnodrilus hoffmeisteri,species,Limnodrilus hoffmeisteri,species,target,Timm 2020,Estonia,NA,NA,larva,1,N,categorical,produces cocoons containing eggs that hatch into small worms,NA
2550,Limnodrilus hoffmeisteri,species,Limnodrilus hoffmeisteri,species,target,Kennedy 1966,England,NA,"multiple rivers, lakes, ponds, streams, canals",living_habit,1,B,categorical,NA,NA
2550,Limnodrilus hoffmeisteri,species,Limnodrilus hoffmeisteri,species,target,Kennedy 1966,England,NA,"multiple rivers, lakes, ponds, streams, canals",reproduction,1,A,categorical,"cross fertilization is the general rule, but uniparental reproduction is known to occur and self-fertilization is possible (Gavrilov 1951). Asexual reproduction thought not to occur; autotomy and fragmentation do not produce one than one individual",NA
2550,Limnodrilus hoffmeisteri,species,Limnodrilus hoffmeisteri,species,target,Brinkhurst and Simmons 1968,United States,CA,San Francisco Bay,salinity_tolerance,1,13,ppt,field observation,"couldn't find this paper, cited in Rodriguez et al 2006; chose this as best trait value becasuse reported from SFE"
2550,Limnodrilus hoffmeisteri,species,Limnodrilus hoffmeisteri,species,target,Chapman et al 1982,Canada,BC,Fraser River Estuary,salinity_tolerance,2,14.5,ppt,measured in lab. LD 50 with sediment; LD50 without sediment was 10 ppt,"see Table V for all environmental factors (also pH); though not from the SFE, this is a good trait value because done in controlled lab conditions"
2550,Limnodrilus hoffmeisteri,species,Limnodrilus hoffmeisteri,species,target,Chapman and Brinkhurst 1980,Canada,BC,Fraser River Estuary,salinity_tolerance,3,10.5,ppt,"measured in lab. LD 50 between 10-10.5 for mature and immature worms out of sediment. 9.4-10.5 in sand, 14.3 for immature worms acclimated to 5 ppt.",NA
2550,Limnodrilus hoffmeisteri,species,Limnodrilus hoffmeisteri,species,target,Chapman et al 1982,Canada,BC,Fraser River Estuary,thermal_tolerance,1,35,C,measured in lab. LD 50 with sediment; LD50 without sediment was 34C,see Table V for all environmental factors (also pH); selected as best value because more rigorous than other value
2550,Limnodrilus hoffmeisteri,species,Limnodrilus hoffmeisteri,species,target,Timm 2020,Estonia,NA,NA,thermal_tolerance,2,40,C,lethal temperature observed anecdotally in lab,NA
2550,Limnodrilus hoffmeisteri,species,Limnodrilus hoffmeisteri,species,target,Timm 2020,Estonia,NA,NA,voltinism,1,U,categorical,"in laboratory, commonly univoltine but multiple studies indicate several generations per year in higher temperatures",NA
2570,Limnodrilus udekemianus,species,Limnodrilus udekemianus,species,target,Brinkhurst and Jamieson 1971,NA,NA,NA,body_length_max,1,90,mm,NA,NA
2570,Limnodrilus udekemianus,species,Limnodrilus udekemianus,species,target,Timm 2020,Estonia,NA,NA,feeding_position,1,Sb,categorical,NA,NA
2570,Limnodrilus udekemianus,species,Limnodrilus udekemianus,species,target,Kennedy 1966,NA,NA,NA,larva,1,N,categorical,produce cocoons,NA
2610,Psammoryctides californianus,species,Psammoryctides californianus,species,target,Brinkhurst and Jamieson 1971,NA,NA,NA,body_length_max,1,75,mm,NA,NA
2610,Psammoryctides californianus,species,Psammoryctides barbatus,species,congener,Timm 2020,Estonia,NA,NA,feeding_position,1,Sb,categorical,NA,NA
2610,Psammoryctides californianus,species,Psammoryctides barbatus,species,congener,Timm 2020,Estonia,NA,NA,larva,1,N,categorical,NA,NA
2630,Quistadrilus multisetosus,species,Quistadrilus multisetosus,species,target,Timm and Martin 2019,NA,NA,NA,body_length_max,1,35,mm,NA,NA
2630,Quistadrilus multisetosus,species,Aulodrilus japonicus,species,confamiliar,Timm 2020,Estonia,NA,NA,feeding_position,1,Sb,categorical,NA,NA
2630,Quistadrilus multisetosus,species,Aulodrilus japonicus,species,confamiliar,Timm 2020,Estonia,NA,NA,larva,1,N,categorical,NA,NA
2650,Embolocephalus nikolskyi,species,Embolocephalus nikolskyi,species,target,Timm and Martin 2019,NA,NA,NA,body_length_max,1,50,mm,NA,NA
2650,Embolocephalus nikolskyi,species,Tubifex tubifex,species,confamiliar,Timm 2020,Estonia,NA,NA,feeding_position,1,Sb,categorical,NA,NA
2650,Embolocephalus nikolskyi,species,Tubifex tubifex,species,confamiliar,Timm 2020,Estonia,NA,NA,larva,1,N,categorical,NA,NA
2720,Tubificoides heterochaetus,species,Tubificoides heterochaetus,species,target,Timm and Martin 2019,NA,NA,NA,body_length_max,1,9,mm,NA,NA
2720,Tubificoides heterochaetus,species,Tubifex tubifex,species,confamiliar,Timm 2020,Estonia,NA,NA,feeding_position,1,Sb,categorical,NA,NA
2720,Tubificoides heterochaetus,species,Tubifex tubifex,species,confamiliar,Timm 2020,Estonia,NA,NA,larva,1,N,categorical,NA,NA
2730,Varichaetadrilus angustipenis,species,Varichaetadrilus angustipenis,species,target,Liu et al 2017,NA,NA,NA,armoring,1,N,categorical,NA,NA
2730,Varichaetadrilus angustipenis,species,Varichaetadrilus angustipenis,species,target,Brinkhurst and Jamieson 1971,NA,NA,NA,body_length_max,1,15,mm,NA,NA
2730,Varichaetadrilus angustipenis,species,Limnodrilus sp.,genus,confamiliar,Liu 2017,NA,NA,NA,feeding_position,1,Sb,categorical,deposit feeders,NA
2730,Varichaetadrilus angustipenis,species,Limnodrilus hoffmeisteri,species,confamiliar,Block et al 1981,United States,Indiana,Little Calumet River,larva,1,N,categorical,create cocoons of eggs and developing young worms.,NA
2730,Varichaetadrilus angustipenis,species,Limnodrilus sp.,genus,confamiliar,Liu 2017,NA,NA,NA,living_habit,1,B,categorical,"""sediment-dwelling"", may wave posterior body outside of sediment to obtain more oxygen.",NA
2730,Varichaetadrilus angustipenis,species,Limnodrilus sp.,genus,confamiliar,Kennedy 1966,NA,NA,NA,reproduction,1,A,categorical,"cross fertilization is the general rule, but uniparental reproduction is known to occur and self-fertilization is possible (Gavrilov 1951). Asexual reproduction thought not to occur in L. hoffmeisteri.",NA
2730,Varichaetadrilus angustipenis,species,Limnodrilus hoffmeisteri,species,confamiliar,Chapman and Brinkhurst 1980,Canada,BC,Fraser River Estuary,salinity_tolerance,1,10.5,ppt,"measured in lab. LD 50 between 10-10.5 for mature and immature worms out of sediment. 9.4-10.5 in sand, 14.3 for immature worms acclimated to 5 ppt.",chose 10.5 as the value as its the highest in sand for both mature and immature L hoffmeisteri.
2730,Varichaetadrilus angustipenis,species,Limnodrilus hoffmeisteri,species,confamiliar,Chapman et al 1982,Canada,BC,Fraser River Estuary,thermal_tolerance,1,35,C,measured in lab. 96-h LC50 in sediment. out of sediment is 34C. other environmental factors kept constant.,NA
2730,Varichaetadrilus angustipenis,species,Limnodrilus hoffmeisteri,species,confamiliar,Kennedy 1966,NA,NA,NA,voltinism,1,U,categorical,"in laboratory, mature over 1 year, breed, and then often die. But individuals from the population can be found breeding year round. Other species Limnodrilus udekemianus took 2 years to reach maturity, breeding period varied on location",NA
2810,Sparganophilus tamesis,species,Sparganophilus tamesis,species,target,Brinkhurst and Jamieson 1971,NA,NA,NA,body_length_max,1,200,mm,NA,NA
2810,Sparganophilus tamesis,species,Sparganophilus tamesis,species,target,Magri et al 2018,Italy,NA,Mincio River,feeding_position,1,Sb,categorical,NA,NA
2810,Sparganophilus tamesis,species,Sparganophilus tamesis,species,target,Carrera-Martinez 2018,United States,Georgia,"Southern  Appalachian
Piedmont",larva,1,N,categorical,produce cocoons,NA
2840,Altmanella freidris,species,Altmanella freidris,species,target,Brinkhurst and Jamieson 1971,NA,NA,NA,body_length_max,1,12,mm,NA,NA
2840,Altmanella freidris,species,Lumbriculus variegatus,species,confamiliar,Timm 2020,Estonia,NA,NA,feeding_position,1,Sb,categorical,NA,NA
2840,Altmanella freidris,species,Lumbriculus variegatus,species,confamiliar,Timm 2020,Estonia,NA,NA,larva,1,N,categorical,NA,NA
2850,Lumbriculus variegatus,species,Lumbriculus variegatus,species,target,Brinkhurst and Jamieson 1971,NA,NA,NA,body_length_max,1,100,mm,NA,NA
2850,Lumbriculus variegatus,species,Lumbriculus variegatus,species,target,Moore 1978,Canada,NA,Great Slave Lake,feeding_position,1,Sb,categorical,"70% algae found in gut, remainder detritus",NA
2850,Lumbriculus variegatus,species,Lumbriculus variegatus,species,target,Timm 2020,Estonia,NA,NA,larva,1,N,categorical,reproduces via architomy,NA
2970,Mooreobdella microstoma,species,Mooreobdella microstoma,species,target,Thorp and Covich 2001,NA,NA,NA,body_length_max,1,50,mm,NA,NA
2970,Mooreobdella microstoma,species,Dina microstoma,species,synonym,Herrmann 1970,United States,Colorado,NA,feeding_position,1,Pc,categorical,"eats snails, chironomids, tubificids; Gee 1913 says scavenges on dead animals (fish, snails, crayfish, etc)",NA
2970,Mooreobdella microstoma,species,Dina microstoma,species,synonym,Gee 1913,United States,California,NA,larva,1,N,categorical,"hermaphroditic, internal fertilization, lays eggs in cocoons that hatch into small leeches",NA
3050,Boccardiella ligerica,species,Boccardiella ligerica,species,target,Hempel 1957 cited in Wolff 1973,Germany,NA,NA,armoring,1,N,categorical,NA,NA
3050,Boccardiella ligerica,species,Boccardiella ligerica,species,target,Blake and Woodwick 1971,Netherlands,NA,Zuider Zee,body_length_max,1,12,mm,NA,NA
3050,Boccardiella ligerica,species,Boccardiella ligerica,species,target,Hempel 1957 cited in Wolff 1973,Germany,NA,NA,feeding_position,1,FSf,categorical,"Particles are trapped on the mucous covered, ciliated palps; particles, including plankton, under 600 um diameter; might also filter feed",NA
3050,Boccardiella ligerica,species,Boccardiella ligerica,species,target,Hempel 1957 cited in Wolff 1973,Germany,NA,NA,larva,1,P,categorical,eggs are laid in tube and then hatch into ciliated swimming morula larvae; become planktotrophic larvae but time to settling unknown,NA
3050,Boccardiella ligerica,species,Boccardiella ligerica,species,target,Hempel 1957 cited in Wolff 1973,Germany,NA,NA,living_habit,1,T,categorical,lives in tube it makes,NA
3050,Boccardiella ligerica,species,Boccardiella ligerica,species,target,Rullier 1960,France,NA,canal in Caen,reproduction,1,S,categorical,sexes are separate; no mention of methods other than sexual reproduction,Didn't have access to article; got data from NEMESIS
3050,Boccardiella ligerica,species,Boccardiella ligerica,species,target,Kravitz 1987,United States,FL,Gulf of Mexico,salinity_tolerance,1,30,ppt,collected in field at 30 PSU but rare above 18 PSU,NA
3050,Boccardiella ligerica,species,Boccardiella ligerica,species,target,Wern 1985,United States,TX,brackish marsh at Sea Rim State Park,thermal_tolerance,1,31,C,field observation,Didn't have access to article; got data from NEMESIS
3050,Boccardiella ligerica,species,Boccardiella ligerica,species,target,Hempel 1957 cited in Wolff 1973,Germany,NA,NA,voltinism,1,U,categorical,field observations. indicated sexually mature individuals present July-Oct,NA
3090,Pseudopolydora kempi,species,Pseudopolydora kempi,species,target,Light 1978,US,CA,San Francisco Estuary,body_length_max,1,12,mm,average length for SFE; 22 mm for Japan (Sato-Okoshi 2000),Probably a complex of species
3090,Pseudopolydora kempi,species,Pseudopolydora cf. kempi,species,target,Hentschel 1998,United States,Washington,Skagit and False Bay,feeding_position,1,Sf,categorical,"It is a deposit-feeder, using its palps to pick up particles from the sediment surface; Benthic microalgae, detritus, phytoplankton",NA
3090,Pseudopolydora kempi,species,Pseudopolydora cf. kempi,species,target,Blake and Woodwick 1975,United States,California,NA,larva,1,L,categorical,"spend a few days in the plankton, largely lecithotrophic",NA
3110,Streblospio benedicti,species,Streblospio benedicti,species,target,Bridges and Heppell 1996,NA,NA,NA,body_length_max,1,20,mm,< 20 mm,NA
3110,Streblospio benedicti,species,Streblospio benedicti,species,target,Nichols and Thompson 1985,United States,California,San Francisco Estuary,feeding_position,1,FSf,categorical,paper says surface deposit feeder but other sources suggest perhaps also filter feeder,NA
3110,Streblospio benedicti,species,Streblospio benedicti,species,target,Nichols and Thompson 1985,United States,California,San Francisco Estuary,larva,1,L,categorical,lecithotrophic on the west coast and usually settle within 7 d of release from brood pouch; capable of settling immediately after release,NA
3130,Marenzelleria neglecta,species,Marenzelleria neglecta,species,target,Sikorski and Bick 2004,NA,NA,NA,body_length_max,1,115,mm,NA,NA
3130,Marenzelleria neglecta,species,Marenzelleria neglecta,species,target,Dauer 1997,NA,NA,NA,feeding_position,1,Sf,categorical,obligate surface deposit feeder because of short feeding palps,NA
3130,Marenzelleria neglecta,species,Marenzelleria viridis,genus,congener,Bochert et al 1996,NA,NA,Baltic Sea,larva,1,P,categorical,planktonic larvaea were fed phytoplankton ,NA
3170,Heteromastus filiformis,species,Heteromastus filiformis,species,target,Hutchings and Rainer 1982,NA,NA,North Sea,body_length_max,1,180,mm,Specimens from the UK reach about 100 mm (Hayward and Ryland 1990); specimens from the US East Coast are about 40 mm (Hutchings and Rainier 1982),This is most likely a species complex
3170,Heteromastus filiformis,species,Heteromastus filiformis,species,target,Wolff 1973,The Netherlands,NA,"Rhine, Meuse, and Scheldt Rivers",feeding_position,1,Sb,categorical,"can burrow up to 15 cm into sediment; Feeding is believed to be non-selective, on microalgae, detritus, and other organic particles",NA
3170,Heteromastus filiformis,species,Heteromastus filiformis,species,target,Lacalli 1980,NA,NA,NA,larva,1,P,categorical,planktotrophic larvae; starting at 400 um long; settle after 17-18 days,couldn't locate original data source
3330,Hediste limnicola,species,Neanthes lighti,species,synonym,Smith 1950,United States,California,Salinas River,body_length_max,1,65,mm,averaing about 40 mm,see Table 3 for measurements
3330,Hediste limnicola,species,Neanthes lighti,species,synonym,Smith 1950,United States,California,Salinas River,feeding_position,1,Sf,categorical,algal and diatomaceous scum and detritus from surface of bottom,NA
3330,Hediste limnicola,species,Nereis limnicola,species,synonym,Smith 1958,United States,California,Lake Merced,larva,1,N,categorical,"internal fertilization, viviporous; newly hatched young immediately build protective tubes of sand and mucus",NA
3370,Alitta succinea,species,Alitta succinea,species,target,Pettibone 1963,NA,NA,NA,body_length_max,1,170,mm,NA,NA
3370,Alitta succinea,species,Neanthes succinea,species,synonym,de Oliveira et al 2012,NA,NA,NA,feeding_position,1,Po,categorical,"despite large jaws, the family Nereididae is mostly omnivorous, feeding on algae, detritus, small invertebrates and carrion ",NA
3370,Alitta succinea,species,Nereis succinea,species,synonym,Hansen 1999,Denmark,NA,Knebel Vig,larva,1,P,categorical,planktotrophic larvae; settle in 10-14 d at 20-24C,NA
3430,Manayunkia speciosa,species,Manayunkia speciosa,species,target,Willson et al 2010,United States,CA and OR,multiple rivers and creeks,armoring,1,N,categorical,NA,NA
3430,Manayunkia speciosa,species,Manayunkia eriensis,species,synonym,Pennak 1989,NA,NA,NA,body_length_max,1,4,mm,NA,NA
3430,Manayunkia speciosa,species,Manayunkia speciosa,species,target,Willson et al 2010,United States,CA and OR,multiple rivers and creeks,feeding_position,1,F,categorical,uses tentacles to collect particles passing by tube; possibly also deposit feeds,NA
3430,Manayunkia speciosa,species,Manayunkia speciosa,species,target,Willson et al 2010,United States,CA and OR,multiple rivers and creeks,larva,1,N,categorical,females brood offspring in tube; probably only disperses when forced by heavy currents,noted that offspring make tubes right next to mother's tube
3430,Manayunkia speciosa,species,Manayunkia speciosa,species,target,Willson et al 2010,United States,CA and OR,multiple rivers and creeks,living_habit,1,T,categorical,lives in tube it makes,NA
3430,Manayunkia speciosa,species,Manayunkia speciosa,species,target,Willson et al 2010,United States,CA and OR,multiple rivers and creeks,reproduction,1,S,categorical,sexes are separate,"Croskery 1978 claims without citation that asexual reproduction happens but also says that species is hermaphrodite, which it isn't"
3430,Manayunkia speciosa,species,Manayunkia speciosa,species,target,Brehm 1978,United States,MS,Simmon's Bayou near Ocean Springs,salinity_tolerance,1,11,ppt,based on a just five specimens collected from the field so might not be a very good estimate for tolerance,NA
3430,Manayunkia speciosa,species,Manayunkia speciosa,species,target,Poe and Stefan 1974,United States,PA,Schuylkill River,thermal_tolerance,1,28.3,C,based on monthly field measurements,"paper also includes ranges for DO, pH, depth, temperature, and velocity"
3430,Manayunkia speciosa,species,Manayunkia speciosa,species,target,Willson et al 2010,United States,CA and OR,multiple rivers and creeks,voltinism,1,U,categorical,annual life cycle described from lab experiments,NA
3450,Laonome calida,species,Laonome calida,species,target,Jones et al 2009,United States,CA,San Francisco Bay,armoring,1,N,categorical,NA,NA
3450,Laonome calida,species,Laonome calida,species,target,Capa et al. 2014,Netherlands,NA,Eijsden,body_length_max,1,15,mm,body width: 0.5-0.8 mm,NA
3450,Laonome calida,species,Laonome calida,species,target,Jones et al 2009,United States,CA,San Francisco Bay,feeding_position,1,F,categorical,NA,NA
3450,Laonome calida,species,Laonome albicingillum,species,congener,Hsieh et al 2010,Taiwan,NA,"Tanshui River estuarine system, located northwest of Taipei City",larva,1,L,categorical,unable to propel themselves through water; lecithotrophic and settle in 26-33 h after fertilization,NA
3450,Laonome calida,species,Laonome calida,species,target,Jones et al 2009,United States,CA,San Francisco Bay,living_habit,1,T,categorical,lives in mucus tubes,NA
3450,Laonome calida,species,Laonome albicingillum,species,congener,Hsieh 1997,Taiwan,NA,"Tanshui River estuarine system, located northwest of Taipei City",reproduction,1,A,categorical,simultaneous hermaphrodite that can outcross or self-fertilize,Little is known about reproduction in this genus aside from this one species so unclear how common self-fertilization is across species
3450,Laonome calida,species,Laonome calida,species,target,Capa et al 2007,Australia,NA,Dampier Archipelago,salinity_tolerance,1,35,ppt,based on field data. open-water marine habitat so inferred to be 35 ppt,not clear if Australia and US species are the same
3450,Laonome calida,species,Laonome calida,species,target,Capa et al 2014,Netherlands,NA,Eijsden,thermal_tolerance,1,20,C,upper range of temperatures observed in field during sampling period,NA
3450,Laonome calida,species,Laonome albicingillum,species,congener,Hsieh 1995,Taiwan,NA,"Tanshui River estuarine system, located northwest of Taipei City",voltinism,1,U,categorical,based on field observations. a little hard to tell because reproduction Oct-May,NA
4030,Isocypris sp. A,genus,Isocypris beauchampi,species,congener,Kulkoyluoglu 2002,Turkey,Bolu region,Lake Golkoy,body_length_max,1,1.2,mm,maximum length of left value of male (slightly larger than female),NA
4030,Isocypris sp. A,genus,Cyprideis torosa,species,same order,Frenzel et al 2012,Germany,NA,brackish lagoon in Baltic Sea,feeding_position,1,Sb,categorical,"feeds on detritus, diatoms, bacteria; observed digging in the uppermost millimetre of the sediment or more rarely crawling on the surface",NA
4030,Isocypris sp. A,genus,Ostracoda,class,same class,Cohen and Morin 1990,NA,NA,NA,larva,1,N,categorical,ostracods don't have larvae and juveniles resemble adults,NA
4050,Candona sp. A,genus,Candona alchichica,species,congener,Cohuo et al 2016,Mexico,NA,Lake Alchichica,body_length_max,1,1.3,mm,NA,NA
4050,Candona sp. A,genus,Cyprideis torosa,species,same order,Frenzel et al 2012,Germany,NA,brackish lagoon in Baltic Sea,feeding_position,1,Sb,categorical,"feeds on detritus, diatoms, bacteria; observed digging in the uppermost millimetre of the sediment or more rarely crawling on the surface",NA
4050,Candona sp. A,genus,Ostracoda,class,same class,Cohen and Morin 1990,NA,NA,NA,larva,1,N,categorical,ostracods don't have larvae and juveniles resemble adults,NA
4090,Cyprideis sp. A,genus,Cyprideis torosa,species,congener,Frenzel et al 2012,Germany,NA,brackish lagoon in Baltic Sea,armoring,1,G,categorical,calcite carapace,NA
4090,Cyprideis sp. A,genus,Cyprideis torosa,species,congener,Van Harten 1975,The Netherlands,North Holland West-Frisian Islands of Texel and Vlieland,brackish inland waters,body_length_max,1,1.1,mm,mean adult length at 25C,Author suggested was probably Physa acuta
4090,Cyprideis sp. A,genus,Cyprideis torosa,species,congener,Frenzel et al 2012,Germany,NA,brackish lagoon in Baltic Sea,feeding_position,1,Sb,categorical,"feeds on detritus, diatoms, bacteria; observed digging in the uppermost millimetre of the sediment or more rarely crawling on the surface",NA
4090,Cyprideis sp. A,genus,Cyprideis torosa,species,congener,Heip 1976,Belgium,NA,brackish pond,larva,1,N,categorical,all life stages found in sediment so presumably no planktonic larvae,NA
