organism_code,target_taxon_name,target_taxon_level,lit_taxon_name,lit_taxon_level,lit_taxon_type,citation,population_country,population_state,population_description,trait,trait_value_rank,trait_value,trait_unit,trait_description,notes
3430,Manayunkia speciosa,species,Manayunkia speciosa,species,target,Willson et al 2010,United States,CA and OR,multiple rivers and creeks,dispersal,1,N,categorical,females brood offspring in tube; probably only disperses when forced by heavy currents,noted that offspring make tubes right next to mother's tube
3450,Laonome calida,species,Laonome albicingillum,species,congener,Hsieh et al 2010,Taiwan,,"Tanshui River estuarine system, located northwest of Taipei City",dispersal,1,P,categorical,unable to propel themselves through water; settles in 26-33 h after fertilization,
4090,Cyprideis sp. A,genus,Cyprideis torosa,species,congener,Heip 1976,Belgium,,brackish pond,dispersal,1,N,categorical,all life stages found in sediment so presumably no planktonic larvae,
4230,Nippoleucon hinumensis,species,Nippoleucon hinumensis,species,target,Akiyama and Yamamoto 2004,Japan,,Seto Inland Sea,dispersal,1,N,categorical,offspring are raised in marsupium; manca larvae are nearly full grown and developed,
4550,Sinocorophium alienense,species,Corophium alienense,species,synonym,Chapman 1988 ,United States,California,San Francisco Bay,dispersal,1,N,categorical,no planktonic larvae mentioned,Nocturnal vertical migration of adults from the benthos into the water column is common among species of Corophium. Species of Corophium are also noted for dispersal over many kilometers in a single night. (this species might be passive? only info is that dispersed into SF bay with vertical migration and tidal movement)
4610,Americorophium spinicorne,species,Corophium spinicorne ,species,synonym,Hiebert et al 2016,United States,,,dispersal,1,N,categorical,no planktonic larvae,"young development stage resembles adults, brood stay on female for 4 weeks and the adults are tube dwellers"
4630,Americorophium stimpsoni,species,Corophium volutator,species,confamiliar,Stevens et al 2006,New Zealand,,Waimapu Estuary,dispersal,1,N,categorical,assuming most amphipods have no larval stage. All sited papers were of this species.,
4750,Gammarus daiberi,species,Gammarus spp.,genus,congener,Ginn et al 1976,Unites States,New York,Indian Point,dispersal,1,N,categorical,"females contain eggs and/or young in marsupium and release as young. Study done with G. daiberi and G.tigrinus, but they indicate samples were most likely mostly G. daiberi.",
6730,Corbicula fluminea,species,Corbicula fluminea,species,target,Sousa et al 2008,Europe,,River Rhine,dispersal,1,P,categorical,Pediveliger and juvelines passively transported by fluvial or tidal currents,
6890,Potamocorbula amurensis,species,Potamocorbula amurensis,species,target,Nicolini and Penry 2000,United States,California,San Francisco Bay,dispersal,1,P,categorical,"planktonic larval stage before settlement, have extended foot to move as settled adults","larvae swim actively from day 2, when inactive were on the bottom of the container with velar lobes retracted. Metamorphosed clams push with extended foot to move actively and to burrow."
2470,Bothrioneurum vejdovskyanum,species,Bothrioneurum vejdovskyanum,species,target,Schenkova et al 2006,Czech Republic,,Rokytna River,habit,1,B,categorical,,
2550,Limnodrilus hoffmeisteri,species,Limnodrilus hoffmeisteri,species,target,Kennedy 1966,England,,"multiple rivers, lakes, ponds, streams, canals",habit,1,B,categorical,,
2730,Varichaetadrilus angustipenis,species,Limnodrilus sp.,genus,confamiliar,Liu 2017,,,,habit,1,B,categorical,"""sediment-dwelling"", may wave posterior body outside of sediment to obtain more oxygen.",
3050,Boccardiella ligerica,species,Boccardiella ligerica,species,target,Hempel 1957 cited in Wolff 1973,Germany,,,habit,1,T,categorical,lives in tube it makes,
3430,Manayunkia speciosa,species,Manayunkia speciosa,species,target,Willson et al 2010,United States,CA and OR,multiple rivers and creeks,habit,1,T,categorical,lives in tube it makes,
3450,Laonome calida,species,Laonome calida,species,target,Jones et al 2009,United States,CA,San Francisco Bay,habit,1,T,categorical,lives in mucus tubes,
4090,Cyprideis sp. A,genus,Cyprideis torosa,species,congener,Frenzel et al 2012,Germany,,brackish lagoon in Baltic Sea,habit,1,B,categorical,observed digging in the uppermost millimetre of the sediment or more rarely crawling on the surface,
4230,Nippoleucon hinumensis,species,Nippoleucon hinumensis,species,target,Akiyama and Yamamoto 2004,Japan,,Seto Inland Sea,habit,1,S,categorical,lives around surface of sediment,"could probably also be categorized as ""burrowing"""
4550,Sinocorophium alienense,species,Corophium alienense,species,synonym,Jones et al. 2009,United States,California ,"Suisun Slough, North San Francisco Bay",habit,1,T,categorical,,
4610,Americorophium spinicorne,species,Corophium spinicorne ,species,synonym,Hiebert et al 2016,United States,,,habit,1,T,categorical,"inhabit small U-shaped tubes in soft sediments, hard surfaces, sandy beaches, gravel, clay",family level trait of Corophiidae
4630,Americorophium stimpsoni,species,Corophium stimpsoni,species,synonym,Kelley 1966,,,,habit,1,T,categorical,,found in higher numbers with sand substrate and low net water velocity.
4750,Gammarus daiberi,species,Gammarus spp.,genus,congener,MacNeil et al 1997,,,,habit,1,S,categorical,"Gammarus spp. are often found in great abundance in o runde any substratum that provides both shelter from predators and a supply of organic detritus and other foodstuffs,that is,under rocks,in gravel or coarse substrates and amongst living and dead vegetation.",
6730,Corbicula fluminea,species,Corbicula fluminea,species,target,Sousa et al 2008,,,,habit,1,B,categorical,,
6890,Potamocorbula amurensis,species,Potamocorbula amurensis,species,target,Nicolini and Penry 2000,United States,California,San Francisco Bay,habit,1,B,categorical,,Use extended foot to move and burrow
2470,Bothrioneurum vejdovskyanum,species,Bothrioneurum vejdovskyanum,species,target,Schenkova et al 2006,Czech Republic,,Rokytna River,reproduction,1,A,categorical,architomy; sexual reproduction is very rare,
2550,Limnodrilus hoffmeisteri,species,Limnodrilus hoffmeisteri,species,target,Kennedy 1966,England,,"multiple rivers, lakes, ponds, streams, canals",reproduction,1,A,categorical,"cross fertilization is the general rule, but uniparental reproduction is known to occur and self-fertilization is possible (Gavrilov 1951). Asexual reproduction thought not to occur; autotomy and fragmentation do not produce one than one individual",
2730,Varichaetadrilus angustipenis,species,Limnodrilus sp.,genus,confamiliar,Kennedy 1966,,,,reproduction,1,A,categorical,"cross fertilization is the general rule, but uniparental reproduction is known to occur and self-fertilization is possible (Gavrilov 1951). Asexual reproduction thought not to occur in L. hoffmeisteri.",
3050,Boccardiella ligerica,species,Boccardiella ligerica,species,target,Rullier 1960,France,,canal in Caen,reproduction,1,S,categorical,sexes are separate; no mention of methods other than sexual reproduction,Didn't have access to article; got data from NEMESIS
3430,Manayunkia speciosa,species,Manayunkia speciosa,species,target,Willson et al 2010,United States,CA and OR,multiple rivers and creeks,reproduction,1,S,categorical,sexes are separate," Croskery 1978 claims without citation that asexual reproduction happens but also says that species is hermaphrodite, which it isn't"
3450,Laonome calida,species,Laonome albicingillum,species,congener,Hsieh 1997,Taiwan,,"Tanshui River estuarine system, located northwest of Taipei City",reproduction,1,A,categorical,simultaneous hermaphrodite that can outcross or self-fertilize,Little is known about reproduction in this genus aside from this one species so unclear how common self-fertilization is across species
4090,Cyprideis sp. A,genus,Cyprideis torosa,species,congener,Frenzel et al 2012,Germany,,brackish lagoon in Baltic Sea,reproduction,1,S,categorical,sexes are separate in all known ostracods; no reference to non-sexual reproduction,"Cohen and Morin 1990 note that a few ostracodes are parthenogenetic, including two species in superfamily that includes this genus"
4230,Nippoleucon hinumensis,species,Nippoleucon hinumensis,species,target,Akiyama and Yamamoto 2004,Japan,,Seto Inland Sea,reproduction,1,S,categorical,sexes are separate; no mention of methods other than sexual reproduction,
4550,Sinocorophium alienense,species,Sinocorophium homoceratum,species,congener,Ko et al 2016,Korea,,Gomso Bay,reproduction,1,S,categorical,"sexes are separate, no indication of self fertilization",
4610,Americorophium spinicorne,species,Corophium spinicorne ,species,synonym,Hiebert et al 2016,United States,,,reproduction,1,S,categorical,,"less sexually dimorphic than other corophium species, but still implies that reproduction is direct and requires 2 individuals."
4630,Americorophium stimpsoni,species,Corophium spinicorne ,species,congener,Hiebert et al 2016,United States,,,reproduction,1,S,categorical,,presumed that members of the same genus are similar in reproduction
4750,Gammarus daiberi,species,Gammarus spp.,genus,congener,Sutcliffe 1992,,,,reproduction,1,S,categorical,sexually dimorphic with courting patterns and sexual reproduction among various Gammarus species studied. ,
6730,Corbicula fluminea,species,Corbicula fluminea,species,target,Kennedy and Van Huekelem 1985,United States,Maryland,Potamac River,reproduction,1,A,categorical,"simultaneous hermaphrodites, and self fertilization is common. females brood embryos until released as larvae. ",
6890,Potamocorbula amurensis,species,Potamocorbula amurensis,species,target,Nicolini and Penry 2000,United States,California ,San Francisco Bay,reproduction,1,S,categorical,broadcast spawners,
2470,Bothrioneurum vejdovskyanum,species,Bothrioneurum sp.,genus,congener,Muniz et al 2011,Uruguay,,Montevideo coastal zone,salinity_tolerance,2,27.5,ppt,measured in field at bottom of water column (see Tables 1 and 3),not necessarily upper salinity limit; just highest value where species observed
2550,Limnodrilus hoffmeisteri,species,Limnodrilus hoffmeisteri,species,target,Chapman and Brinkhurst 1980,Canada,BC,Fraser River Estuary,salinity_tolerance,3,10.5,ppt,"measured in lab. LD 50 between 10-10.5 for mature and immature worms out of sediment. 9.4-10.5 in sand, 14.3 for immature worms acclimated to 5 ppt.",
2550,Limnodrilus hoffmeisteri,species,Limnodrilus hoffmeisteri,species,target,Brinkhurst and Simmons 1968,United States,CA,San Francisco Bay,salinity_tolerance,1,13,ppt,field observation,"couldn't find this paper, cited in Rodriguez et al 2006; chose this as best trait value becasuse reported from SFE"
2550,Limnodrilus hoffmeisteri,species,Limnodrilus hoffmeisteri,species,target,Chapman et al 1982,Canada,BC,Fraser River Estuary,salinity_tolerance,2,14.5,ppt,measured in lab. LD 50 with sediment; LD50 without sediment was 10 ppt,"see Table V for all environmental factors (also pH); though not from the SFE, this is a good trait value because done in controlled lab conditions"
2730,Varichaetadrilus angustipenis,species,Limnodrilus hoffmeisteri,species,confamiliar,Chapman and Brinkhurst 1980,Canada,BC,Fraser River Estuary,salinity_tolerance,1,10.5,ppt,"measured in lab. LD 50 between 10-10.5 for mature and immature worms out of sediment. 9.4-10.5 in sand, 14.3 for immature worms acclimated to 5 ppt. ",chose 10.5 as the value as its the highest in sand for both mature and immature L hoffmeisteri.
3050,Boccardiella ligerica,species,Boccardiella ligerica,species,target,Kravitz 1987,United States,FL,Gulf of Mexico,salinity_tolerance,1,30,ppt,collected in field at 30 PSU but rare above 18 PSU,this is already pulled from NEMESIS database
3430,Manayunkia speciosa,species,Manayunkia speciosa,species,target,Brehm 1978,United States,MS,Simmon's Bayou near Ocean Springs,salinity_tolerance,1,11,ppt,based on a just five specimens collected from the field so might not be a very good estimate for tolerance,
3450,Laonome calida,species,Laonome calida,species,target,Capa et al 2007,Australia,,Dampier Archipelago,salinity_tolerance,1,35,ppt,based on field data. open-water marine habitat so inferred to be 35 ppt,not clear if Australia and US species are the same; this record already pulled from NEMESIS
4090,Cyprideis sp. A,genus,Cyprideis torosa,species,congener,Frenzel et al 2012,Spain,,Spanish Mediterranean coast,salinity_tolerance,1,63,ppt,field observation; see Fig. 9; actually relevant data from Marco Barba 2010 (PhD thesis); much higher than ocean water,
4230,Nippoleucon hinumensis,species,Nippoleucon hinumensis,species,target,Lee et al. 2003,United States,CA,San Francisco Bay,salinity_tolerance,1,27.5,ppt,field observation,didn't have access to book chapter; this is already pulled from NEMESIS database
4550,Sinocorophium alienense,species,Corophium alienense,species,synonym,Lee et al 2003,United States,California,San Francisco Bay,salinity_tolerance,1,27.5,ppt,field observation,
4610,Americorophium spinicorne,species,Corophium spinicorne ,species,synonym,Hiebert et al 2016,United States,,,salinity_tolerance,1,33.6,ppt,,"strongly euryhaline, often found in freshwater habitats (Erikson 1968)"
4630,Americorophium stimpsoni,species,Corophium spinicorne ,species,congener,Hiebert et al 2016,United States,,,salinity_tolerance,1,33.6,ppt,,Betsy describes them as living in similar habitats based on the GRTS survey data so probably reasonable to use the same salinity tolerance value for both
4750,Gammarus daiberi,species,Gammarus daiberi,species,target,Bousfield 1973,,,,salinity_tolerance,1,15,ppt,field observation,collected at this salinity
6730,Corbicula fluminea,species,Corbicula fluminea,species,target,Morton and Tong 1985,,,,salinity_tolerance,1,13,ppt,"at 13ppt and less, osmoregulates and maintains constant tissue chloride levels for 7 days. Above 13ppt, osmoconforms and mortality progressively increases with salinity and time. ",
6890,Potamocorbula amurensis,species,Potamocorbula amurensis,species,target,Carlton et al 1990,United States,California,San Francisco Bay,salinity_tolerance,1,32.6,ppt,highest observed at field station from June 1987-November 1988. ,
2470,Bothrioneurum vejdovskyanum,species,Bothrioneurum vejdovskyanum,species,target,Schenkova et al 2006,Czech Republic,,Rokytna River,thermal_tolerance,1,19.4,C,highest temperature measured during monthly field sampling over two years in one short section of river (Table 1),not necessarily upper thermal limit; just highest value where species observed
2470,Bothrioneurum vejdovskyanum,species,Bothrioneurum sp.,genus,congener,Muniz et al 2011,Uruguay,,Montevideo coastal zone,thermal_tolerance,2,25.5,C,measured at bottom of water column in field (see Tables 1 and 3),not necessarily upper thermal limit; just highest value where species observed
2550,Limnodrilus hoffmeisteri,species,Limnodrilus hoffmeisteri,species,target,Chapman et al 1982,Canada,BC,Fraser River Estuary,thermal_tolerance,1,35,C,measured in lab. LD 50 with sediment; LD50 without sediment was 34C,see Table V for all environmental factors (also pH); selected as best value because more rigorous than other value
2550,Limnodrilus hoffmeisteri,species,Limnodrilus hoffmeisteri,species,target,Timm 2020,Estonia,,,thermal_tolerance,2,40,C,lethal temperature observed anecdotally in lab,
2730,Varichaetadrilus angustipenis,species,Limnodrilus hoffmeisteri,species,confamiliar,Chapman et al 1982,Canada,BC,Fraser River Estuary,thermal_tolerance,1,35,C,measured in lab. 96-h LC50 in sediment. out of sediment is 34C. other environmental factors kept constant.,
3050,Boccardiella ligerica,species,Boccardiella ligerica,species,target,Wern 1985,United States,TX,brackish marsh at Sea Rim State Park,thermal_tolerance,1,31,C,field observation,Didn't have access to article; got data from NEMESIS
3430,Manayunkia speciosa,species,Manayunkia speciosa,species,target,Poe and Stefan 1974,United States,PA,Schuylkill River,thermal_tolerance,1,28.3,C,based on monthly field measurements,"paper also includes ranges for DO, pH, depth, temperature, and velocity"
3450,Laonome calida,species,Laonome calida,species,target,Capa et al 2014,Netherlands,,Eijsden,thermal_tolerance,1,20,C,upper range of temperatures observed in field during sampling period,
4090,Cyprideis sp. A,genus,Cyprideis spp.,genus,congener,Prayudi et al 2024,Bahrain,,Murray's Pool in western Arabian Gulf,thermal_tolerance,1,39.4,C,measured in lab. specimens became comatose; LD50 was 51.8C,couldn't find anything for this genus on google scholar
4230,Nippoleucon hinumensis,species,Nippoleucon hinumensis,species,target,Akiyama and Yamamoto 2004,Japan,,Seto Inland Sea,thermal_tolerance,1,28,C,"in the field, most populations diapause in summer (~28C)",
4550,Sinocorophium alienense,species,Corophium alienense,species,synonym,Chapman 2007,,,,thermal_tolerance,1,30,C,collected in marsh pools at this temperature,
4610,Americorophium spinicorne,species,Corophium spinicorne ,species,synonym,Eriksen 1968,United States,California ,Oso Flaco Lake,thermal_tolerance,1,22.8,C,field observation,highest measured temperature of study site where this species is present. (Erikson 1968)
4630,Americorophium stimpsoni,species,Corophium stimpsoni,species,synonym,McCarthy 1972,United States,Oregon,Siltcoos River,thermal_tolerance,1,20,C,"range of temperatures observed at field sampling site, See Table 2",
4750,Gammarus daiberi,species,Gammarus daiberi,species,target,Nauman and Cory 1969,United States,Maryland,Chalk Point,thermal_tolerance,1,32,C,average temperature in thermal effluent in June when G daiberi were present,
6730,Corbicula fluminea,species,Corbicula fluminea,species,target,Falfushynska et al 2016,United States,North Carolina,Lake Norman,thermal_tolerance,3,29.8,C,measured in lab. temperature causing 50% mortality,populations from two natural sites; excluded cooling water discharge site
6730,Corbicula fluminea,species,Corbicula fluminea,species,target,Falfushynska et al 2016,United States,North Carolina,Catawba River,thermal_tolerance,2,34.9,C,measured in lab. temperature causing 50% mortality,populations from two natural sites; excluded cooling water discharge site
6730,Corbicula fluminea,species,Corbicula fluminea,species,target,Karatayev et al 2006,,,,thermal_tolerance,1,37,C,,"see Table 1 for salinity, pH, and temp tolerance summary; selected as best value because it is the highest one"
6890,Potamocorbula amurensis,species,Potamocorbula amurensis,species,target,Carlton et al. 1990,United States,California,San Francisco Bay,thermal_tolerance,1,23,C,highest observed in the field,selected as best trait value because from SFE (though other value is higher)
6890,Potamocorbula amurensis,species,Potamocorbula amurensis,species,target,Carlton et al. 1990,United States,Asia,,thermal_tolerance,2,28,C,highest observed in the field,cited Sverdrup et al 1947
2470,Bothrioneurum vejdovskyanum,species,Bothrioneurum vejdovskyanum,species,target,Timm 2020,Estonia,,,trophic_habit,1,D,categorical,,
2550,Limnodrilus hoffmeisteri,species,Limnodrilus hoffmeisteri,species,target,Timm 2020,Estonia,,,trophic_habit,1,D,categorical,,
2730,Varichaetadrilus angustipenis,species,Limnodrilus sp.,genus,confamiliar,Liu 2017,,,,trophic_habit,1,D,categorical,deposit feeders,
3050,Boccardiella ligerica,species,Boccardiella ligerica,species,target,Hempel 1957 cited in Wolff 1973,Germany,,,trophic_habit,1,F,categorical,plankton under 600 um diameter; possibly also CG on debris,
3430,Manayunkia speciosa,species,Manayunkia speciosa,species,target,Willson et al 2010,United States,CA and OR,multiple rivers and creeks,trophic_habit,1,F,categorical,uses tentacles to collect particles passing by tube; probably also deposit feeds (D),
3450,Laonome calida,species,Laonome calida,species,target,Jones et al 2009,United States,CA,San Francisco Bay,trophic_habit,1,F,categorical,,
4090,Cyprideis sp. A,genus,Cyprideis torosa,species,congener,Frenzel et al 2012,Germany,,brackish lagoon in Baltic Sea,trophic_habit,1,D,categorical,"feeds on detritus, diatoms, bacteria",
4230,Nippoleucon hinumensis,species,Nippoleucon hinumensis,species,target,Akiyama and Yamamoto 2004,Japan,,Seto Inland Sea,trophic_habit,1,D,categorical,,
4550,Sinocorophium alienense,species,Corophium alienense,species,synonym,Jones et al. 2009,,,,trophic_habit,1,D,categorical,"suspension feeder, and surface deposit feeder. Significant grazer in san francisco bay",
4610,Americorophium spinicorne,species,Corophium spinicorne ,species,synonym,Hiebert et al 2016,United States,,,trophic_habit,1,D,categorical,"A detritovore, ingesting particulate organic matter. can also suspension feed by filtering with second gnathopod.","(Sakamaki and Richardson 2009) A. spinicorne sorts material with filtering gnathopods.  Abdominal appendages create a water current that is filtered by the fine hairs on the gnathopods, and the filtrate is then scraped off and ingested (Miller 1984; Kozloff 1993)"
4630,Americorophium stimpsoni,species,Corophium sp.,genus,confamiliar,Miller 1984,,,,trophic_habit,1,D,categorical,"the three species described will desposit and suspension feed. C. spinicorne, C. salmonis, C. insidiosum.",
4750,Gammarus daiberi,species,Gammarus spp.,genus,congener,Sutcliffe 1992,,,,trophic_habit,1,S,categorical,"In fresh waters, particularly running waters, they have a central position in food webs, being responsible (along with some cased-caddisfly larvae) for shredding and comminuting all kinds of decomposing leaf litter; hence their classification as detritivores in the trophic economy of lowland rivers.",
6730,Corbicula fluminea,species,Corbicula fluminea,species,target,Cohen et al 1984,United States,Maryland,Potamac River,trophic_habit,1,F,categorical,,
6890,Potamocorbula amurensis,species,Potamocorbula amurensis,species,target,Nichols et al. 1990,United States,California,San Francisco Bay,trophic_habit,1,F,categorical,,
2470,Bothrioneurum vejdovskyanum,species,Bothrioneurum vejdovskyanum,species,target,Schenkova et al 2006,Czech Republic,,Rokytna River,voltinism,1,U,categorical,field observation,
2550,Limnodrilus hoffmeisteri,species,Limnodrilus hoffmeisteri,species,target,Timm 2020,Estonia,,,voltinism,1,U,categorical,"in laboratory, commonly univoltine but multiple studies indicate several generations per year in higher temperatures",
2730,Varichaetadrilus angustipenis,species,Limnodrilus hoffmeisteri,species,confamiliar,Kennedy 1966,,,,voltinism,1,U,categorical,"in laboratory, mature over 1 year, breed, and then often die. But individuals from the population can be found breeding year round. Other species Limnodrilus udekemianus took 2 years to reach maturity, breeding period varied on location",
3050,Boccardiella ligerica,species,Boccardiella ligerica,species,target,Hempel 1957 cited in Wolff 1973,Germany,,,voltinism,1,U,categorical,field observations. indicated sexually mature individuals present July-Oct,
3430,Manayunkia speciosa,species,Manayunkia speciosa,species,target,Willson et al 2010,United States,CA and OR,multiple rivers and creeks,voltinism,1,U,categorical,annual life cycle described from lab experiments,
3450,Laonome calida,species,Laonome albicingillum,species,congener,Hsieh 1995,Taiwan,,"Tanshui River estuarine system, located northwest of Taipei City",voltinism,1,U,categorical,based on field observations. a little hard to tell because reproduction Oct-May,
4090,Cyprideis sp. A,genus,Cyprideis torosa,species,congener,Heip 1976,Belgium,,brackish pond,voltinism,1,U,categorical,field observations,
4230,Nippoleucon hinumensis,species,Nippoleucon hinumensis,species,target,Akiyama and Yamamoto 2004,Japan,,Seto Inland Sea,voltinism,1,U,categorical,field observations,
4550,Sinocorophium alienense,species,Corophium multisetosum,species,confamiliar,"Cunha et al 2000, Cunha et al 2000",Portugal,,Ria de Aveiro,voltinism,2,M,categorical,"based on field observations. semiannual, iteroparous life history. brooding females collected monthly over one year of the study. Second paper found latitudinal variations in fecundity, but still 2+ generations per year and practically continuous breeding due to maturation time and reproductive age",
4550,Sinocorophium alienense,species,Corophium insidiosum,species,confamiliar,Kevrekidis 2004,Greece,Evros Delta,Monolimni lagoon,voltinism,1,M,categorical,"based on field observations. 2-6.5 generations with variable lifespan, depending on latitude and temperature","Leela's consensus, later split up into different lines of data: semi annual/2 generations per year. Based on multiple papers of different species, C. orientale, C. multisetosum, C. volutator, C. arenarium."
4610,Americorophium spinicorne,species,Corophium spinicorne ,species,synonym,Hiebert et al 2016,United States,,San Francisco Bay,voltinism,1,M,categorical,<4 broods per year,"young remain in brood pouch for four weeks, and females produce up to four broods per year (Green 1968)."
4630,Americorophium stimpsoni,species,Corophium multisetosum,species,confamiliar,"Cunha et al 2000, Cunha et al 2000",Portugal,,Ria de Aveiro,voltinism,2,M,categorical,"based on field observations. semiannual, iteroparous life history. brooding females collected monthly over one year of the study. Second paper found latitudinal variations in fecundity, but still 2+ generations per year and practically continuous breeding due to maturation time and reproductive age",
4630,Americorophium stimpsoni,species,Corophium insidiosum,species,confamiliar,Kevrekidis 2004,Greece,Evros Delta,Monolimni lagoon,voltinism,1,M,categorical,"based on field observations. 2-6.5 generations with variable lifespan, depending on latitude and temperature","Leela's consensus, later split up into different lines of data: semi annual/2 generations per year. Based on multiple papers of different species, C. orientale, C. multisetosum, C. volutator, C. arenarium."
4750,Gammarus daiberi,species,Gammarus spp.,genus,congener,Sutcliffe 1992,,,,voltinism,1,M,categorical,"eggs develop between 17-35 days at 10C dependig on egg size, and enter diapause sometime between mid summer and early winter. Become ovigerous depending on daylight hours. ",
6730,Corbicula fluminea,species,Corbicula fluminea,species,target,Sousa et al 2008,,,,voltinism,1,M,categorical,"majority of studies conclude 2 a year (spring/late summer), but could be 1-3 depending on temp, food availability, and location.",
6890,Potamocorbula amurensis,species,Potamocorbula amurensis,species,target,Nicolini and Penry 2000,United States,California,San Francisco Bay,voltinism,1,M,categorical,laboratory study. But field studies suggest Reproduction occurs year round in SF Bay,regional variations based on water flow and food availability 
