organism_code,target_taxon_name,target_taxon_level,target_genus,target_family,lit_taxon_level,lit_taxon_name,lit_genus,lit_family,database,trait_record_id,citation,population_state,population_description,study_latitude,study_longitude,trait_group,trait_value,trait_unit
2970,Mooreobdella microstoma,Species,Mooreobdella,Erpobdellidae,family,Erpobdella punctata,Erpobdella,Erpobdellidae,USGS,6435,Fresh-Water Invertebrates of the United States: Protozoa to Mollusca,NA,In all regions where this species occurs,NA,NA,body_size_max,1000,mm
2970,Mooreobdella microstoma,Species,Mooreobdella,Erpobdellidae,family,Erpobdella montezuma,Erpobdella,Erpobdellidae,USGS,6436,Fresh-Water Invertebrates of the United States: Protozoa to Mollusca,Arizona,NA,NA,NA,body_size_max,800,mm
2970,Mooreobdella microstoma,Species,Mooreobdella,Erpobdellidae,family,Nephelopsis obscura,Nephelopsis,Erpobdellidae,USGS,6437,Fresh-Water Invertebrates of the United States: Protozoa to Mollusca,NA,Northern Midwest (Great Lakes states),NA,NA,body_size_max,1000,mm
2970,Mooreobdella microstoma,Species,Mooreobdella,Erpobdellidae,family,Nephelopsis obscura,Nephelopsis,Erpobdellidae,USGS,7931,Ecology and Classification of North American Freshwater Invertebrates.,NA,NA,NA,NA,body_size_max,100,mm
3450,Laonome calida,Species,Laonome,Sabellidae,family,Manayunkia eriensis,Manayunkia,Sabellidae,USGS,6373,Fresh-Water Invertebrates of the United States: Protozoa to Mollusca,NA,In all regions where this species occurs,NA,NA,body_size_max,4,mm
4350,Gnorimosphaeroma insulare,Species,Gnorimosphaeroma,Sphaeromatidae,family,Sphaeroma terebrans,Sphaeroma,Sphaeromatidae,USGS,6477,Fresh-Water Invertebrates of the United States: Protozoa to Mollusca,NA,Gulf Coast / Delta Area (TX - FL),NA,NA,body_size_max,10,mm
4350,Gnorimosphaeroma insulare,Species,Gnorimosphaeroma,Sphaeromatidae,family,Thermosphaeroma spp.,Thermosphaeroma,Sphaeromatidae,USGS,6478,Fresh-Water Invertebrates of the United States: Protozoa to Mollusca,NA,Desert Southwest,NA,NA,body_size_max,10,mm
4350,Gnorimosphaeroma insulare,Species,Gnorimosphaeroma,Sphaeromatidae,family,Sphaeromatidae,NA,Sphaeromatidae,USGS,6473,Fresh-Water Invertebrates of the United States: Protozoa to Mollusca,NA,In all regions where this species occurs,NA,NA,body_size_max,10,mm
4370,Gnorimosphaeroma oregonense,Species,Gnorimosphaeroma,Sphaeromatidae,family,Sphaeroma terebrans,Sphaeroma,Sphaeromatidae,USGS,6477,Fresh-Water Invertebrates of the United States: Protozoa to Mollusca,NA,Gulf Coast / Delta Area (TX - FL),NA,NA,body_size_max,10,mm
4370,Gnorimosphaeroma oregonense,Species,Gnorimosphaeroma,Sphaeromatidae,family,Thermosphaeroma spp.,Thermosphaeroma,Sphaeromatidae,USGS,6478,Fresh-Water Invertebrates of the United States: Protozoa to Mollusca,NA,Desert Southwest,NA,NA,body_size_max,10,mm
4370,Gnorimosphaeroma oregonense,Species,Gnorimosphaeroma,Sphaeromatidae,family,Sphaeromatidae,NA,Sphaeromatidae,USGS,6473,Fresh-Water Invertebrates of the United States: Protozoa to Mollusca,NA,In all regions where this species occurs,NA,NA,body_size_max,10,mm
4750,Gammarus daiberi,Species,Gammarus,Gammaridae,family,Allocrangonyx spp.,Allocrangonyx,Gammaridae,USGS,6511,Fresh-Water Invertebrates of the United States: Protozoa to Mollusca,NA,Mid-Midwest,NA,NA,body_size_max,22,mm
4750,Gammarus daiberi,Species,Gammarus,Gammaridae,family,Anisogammarus spp.,Anisogammarus,Gammaridae,USGS,6500,Fresh-Water Invertebrates of the United States: Protozoa to Mollusca,NA,Pacific Northwest (coastal),NA,NA,body_size_max,11,mm
4750,Gammarus daiberi,Species,Gammarus,Gammaridae,family,Gammaridae,NA,Gammaridae,USGS,6496,Fresh-Water Invertebrates of the United States: Protozoa to Mollusca,NA,In all regions where this species occurs,NA,NA,body_size_max,12.5,mm
5410,Procladius,Genus,Procladius,Chironomidae,family,Boreoheptagyia spp.,Boreoheptagyia,Chironomidae,USGS,10213,Distribution of invertebrates in a high mountain brook in the Colorado Rocky Mountains.,Colorado,NA,NA,NA,body_size_max,6,mm
5410,Procladius,Genus,Procladius,Chironomidae,family,Cardiocladius spp.,Cardiocladius,Chironomidae,USGS,8315,Cardiocladius (Diptera: Chironomidae) larvae ectoparasitic on pupae of Hydropsychidae (Trichoptera).,Virginia,NA,NA,NA,body_size_max,14,mm
5410,Procladius,Genus,Procladius,Chironomidae,family,Chironomus spp.,Chironomus,Chironomidae,USGS,5732,"The biology of Chironomus plumosus (Diptera: Chironomidae) in Lake Winnebago, Wisconsin",Wisconsin,NA,NA,NA,body_size_max,18,mm
5410,Procladius,Genus,Procladius,Chironomidae,family,Corynoneura spp.,Corynoneura,Chironomidae,USGS,10222,Distribution of invertebrates in a high mountain brook in the Colorado Rocky Mountains.,Colorado,NA,NA,NA,body_size_max,3,mm
5410,Procladius,Genus,Procladius,Chironomidae,family,Diamesa spp.,Diamesa,Chironomidae,USGS,10212,Distribution of invertebrates in a high mountain brook in the Colorado Rocky Mountains.,Colorado,NA,NA,NA,body_size_max,10,mm
5410,Procladius,Genus,Procladius,Chironomidae,family,Epoicocladius spp.,Epoicocladius,Chironomidae,USGS,10220,Distribution of invertebrates in a high mountain brook in the Colorado Rocky Mountains.,Colorado,NA,NA,NA,body_size_max,1,mm
5410,Procladius,Genus,Procladius,Chironomidae,family,Eukiefferiella spp.,Eukiefferiella,Chironomidae,USGS,10215,Distribution of invertebrates in a high mountain brook in the Colorado Rocky Mountains.,Colorado,NA,NA,NA,body_size_max,5,mm
5410,Procladius,Genus,Procladius,Chironomidae,family,Metriocnemus spp.,Metriocnemus,Chironomidae,USGS,10218,Distribution of invertebrates in a high mountain brook in the Colorado Rocky Mountains.,Colorado,NA,NA,NA,body_size_max,8,mm
5410,Procladius,Genus,Procladius,Chironomidae,family,Orthocladius spp.,Orthocladius,Chironomidae,USGS,10216,Distribution of invertebrates in a high mountain brook in the Colorado Rocky Mountains.,Colorado,NA,NA,NA,body_size_max,6,mm
5410,Procladius,Genus,Procladius,Chironomidae,family,Parakiefferiella spp.,Parakiefferiella,Chironomidae,USGS,10221,Distribution of invertebrates in a high mountain brook in the Colorado Rocky Mountains.,Colorado,NA,NA,NA,body_size_max,2,mm
5410,Procladius,Genus,Procladius,Chironomidae,family,Paraphaenocladius spp.,Paraphaenocladius,Chironomidae,USGS,10219,Distribution of invertebrates in a high mountain brook in the Colorado Rocky Mountains.,Colorado,NA,NA,NA,body_size_max,2,mm
5410,Procladius,Genus,Procladius,Chironomidae,family,Pseudodiamesa spp.,Pseudodiamesa,Chironomidae,USGS,6090,"Chironomidae (Diptera) of Char Lake , Cornwallis Island, N.W.T.",NA,Pacific Northwest (coastal),74 42' N,95 53' W,body_size_max,13,mm
5410,Procladius,Genus,Procladius,Chironomidae,family,Pseudodiamesa spp.,Pseudodiamesa,Chironomidae,USGS,10211,Distribution of invertebrates in a high mountain brook in the Colorado Rocky Mountains.,Colorado,NA,NA,NA,body_size_max,13,mm
5410,Procladius,Genus,Procladius,Chironomidae,family,Rheocricotopus spp.,Rheocricotopus,Chironomidae,USGS,10217,Distribution of invertebrates in a high mountain brook in the Colorado Rocky Mountains.,Colorado,NA,NA,NA,body_size_max,5,mm
5410,Procladius,Genus,Procladius,Chironomidae,family,Chironomidae,NA,Chironomidae,USGS,11654,Growth rates and prey selection of two congeneric predatory caddisflies,NA,Northern Midwest (Great Lakes states),NA,NA,body_size_max,11,mm
5550,Cryptochironomus,Genus,Cryptochironomus,Chironomidae,family,Boreoheptagyia spp.,Boreoheptagyia,Chironomidae,USGS,10213,Distribution of invertebrates in a high mountain brook in the Colorado Rocky Mountains.,Colorado,NA,NA,NA,body_size_max,6,mm
5550,Cryptochironomus,Genus,Cryptochironomus,Chironomidae,family,Cardiocladius spp.,Cardiocladius,Chironomidae,USGS,8315,Cardiocladius (Diptera: Chironomidae) larvae ectoparasitic on pupae of Hydropsychidae (Trichoptera).,Virginia,NA,NA,NA,body_size_max,14,mm
5550,Cryptochironomus,Genus,Cryptochironomus,Chironomidae,family,Chironomus spp.,Chironomus,Chironomidae,USGS,5732,"The biology of Chironomus plumosus (Diptera: Chironomidae) in Lake Winnebago, Wisconsin",Wisconsin,NA,NA,NA,body_size_max,18,mm
5550,Cryptochironomus,Genus,Cryptochironomus,Chironomidae,family,Corynoneura spp.,Corynoneura,Chironomidae,USGS,10222,Distribution of invertebrates in a high mountain brook in the Colorado Rocky Mountains.,Colorado,NA,NA,NA,body_size_max,3,mm
5550,Cryptochironomus,Genus,Cryptochironomus,Chironomidae,family,Diamesa spp.,Diamesa,Chironomidae,USGS,10212,Distribution of invertebrates in a high mountain brook in the Colorado Rocky Mountains.,Colorado,NA,NA,NA,body_size_max,10,mm
5550,Cryptochironomus,Genus,Cryptochironomus,Chironomidae,family,Epoicocladius spp.,Epoicocladius,Chironomidae,USGS,10220,Distribution of invertebrates in a high mountain brook in the Colorado Rocky Mountains.,Colorado,NA,NA,NA,body_size_max,1,mm
5550,Cryptochironomus,Genus,Cryptochironomus,Chironomidae,family,Eukiefferiella spp.,Eukiefferiella,Chironomidae,USGS,10215,Distribution of invertebrates in a high mountain brook in the Colorado Rocky Mountains.,Colorado,NA,NA,NA,body_size_max,5,mm
5550,Cryptochironomus,Genus,Cryptochironomus,Chironomidae,family,Metriocnemus spp.,Metriocnemus,Chironomidae,USGS,10218,Distribution of invertebrates in a high mountain brook in the Colorado Rocky Mountains.,Colorado,NA,NA,NA,body_size_max,8,mm
5550,Cryptochironomus,Genus,Cryptochironomus,Chironomidae,family,Orthocladius spp.,Orthocladius,Chironomidae,USGS,10216,Distribution of invertebrates in a high mountain brook in the Colorado Rocky Mountains.,Colorado,NA,NA,NA,body_size_max,6,mm
5550,Cryptochironomus,Genus,Cryptochironomus,Chironomidae,family,Parakiefferiella spp.,Parakiefferiella,Chironomidae,USGS,10221,Distribution of invertebrates in a high mountain brook in the Colorado Rocky Mountains.,Colorado,NA,NA,NA,body_size_max,2,mm
5550,Cryptochironomus,Genus,Cryptochironomus,Chironomidae,family,Paraphaenocladius spp.,Paraphaenocladius,Chironomidae,USGS,10219,Distribution of invertebrates in a high mountain brook in the Colorado Rocky Mountains.,Colorado,NA,NA,NA,body_size_max,2,mm
5550,Cryptochironomus,Genus,Cryptochironomus,Chironomidae,family,Pseudodiamesa spp.,Pseudodiamesa,Chironomidae,USGS,6090,"Chironomidae (Diptera) of Char Lake , Cornwallis Island, N.W.T.",NA,Pacific Northwest (coastal),74 42' N,95 53' W,body_size_max,13,mm
5550,Cryptochironomus,Genus,Cryptochironomus,Chironomidae,family,Pseudodiamesa spp.,Pseudodiamesa,Chironomidae,USGS,10211,Distribution of invertebrates in a high mountain brook in the Colorado Rocky Mountains.,Colorado,NA,NA,NA,body_size_max,13,mm
5550,Cryptochironomus,Genus,Cryptochironomus,Chironomidae,family,Rheocricotopus spp.,Rheocricotopus,Chironomidae,USGS,10217,Distribution of invertebrates in a high mountain brook in the Colorado Rocky Mountains.,Colorado,NA,NA,NA,body_size_max,5,mm
5550,Cryptochironomus,Genus,Cryptochironomus,Chironomidae,family,Chironomidae,NA,Chironomidae,USGS,11654,Growth rates and prey selection of two congeneric predatory caddisflies,NA,Northern Midwest (Great Lakes states),NA,NA,body_size_max,11,mm
6530,Gyraulus circumstriatus,Species,Gyraulus,Planorbidae,family,Amphigyra alabamensis,Amphigyra,Planorbidae,USGS,6654,Fresh-Water Invertebrates of the United States: Protozoa to Mollusca,Alabama,NA,NA,NA,body_size_max,2,mm
6530,Gyraulus circumstriatus,Species,Gyraulus,Planorbidae,family,Armiger crista,Armiger,Planorbidae,USGS,6281,Ecology and Classification of North American Freshwater Invertebrates,NA,Northern Midwest (Great Lakes states),NA,NA,body_size_max,8,mm
6530,Gyraulus circumstriatus,Species,Gyraulus,Planorbidae,family,Armiger crista,Armiger,Planorbidae,USGS,6653,Fresh-Water Invertebrates of the United States: Protozoa to Mollusca,NA,Northern Midwest (Great Lakes states),NA,NA,body_size_max,3,mm
6530,Gyraulus circumstriatus,Species,Gyraulus,Planorbidae,family,Neoplanorbis spp.,Neoplanorbis,Planorbidae,USGS,6282,Ecology and Classification of North American Freshwater Invertebrates,Alabama,NA,NA,NA,body_size_max,2,mm
6530,Gyraulus circumstriatus,Species,Gyraulus,Planorbidae,family,Neoplanorbis spp.,Neoplanorbis,Planorbidae,USGS,6655,Fresh-Water Invertebrates of the United States: Protozoa to Mollusca,Alabama,NA,NA,NA,body_size_max,2,mm
6750,Euglesa casertana,Species,Euglesa,Sphaeriidae,family,Eupera cubensis,Eupera,Sphaeriidae,USGS,6682,Fresh-Water Invertebrates of the United States: Protozoa to Mollusca,NA,Gulf Coast / Delta Area (TX - FL),NA,NA,body_size_max,7,mm
6750,Euglesa casertana,Species,Euglesa,Sphaeriidae,family,Musculium partumeium,Musculium,Sphaeriidae,USGS,6297,Ecology and Classification of North American Freshwater Invertebrates,NA,In all regions where this species occurs,NA,NA,body_size_max,4,mm
6750,Euglesa casertana,Species,Euglesa,Sphaeriidae,family,Pisidium spp.,Pisidium,Sphaeriidae,USGS,6683,Fresh-Water Invertebrates of the United States: Protozoa to Mollusca,NA,In all regions where this species occurs,NA,NA,body_size_max,4,mm
6750,Euglesa casertana,Species,Euglesa,Sphaeriidae,family,Sphaeriidae,NA,Sphaeriidae,USGS,6667,Fresh-Water Invertebrates of the United States: Protozoa to Mollusca,NA,In all regions where this species occurs,NA,NA,body_size_max,10,mm
6770,Euglesa compressa,Species,Euglesa,Sphaeriidae,family,Eupera cubensis,Eupera,Sphaeriidae,USGS,6682,Fresh-Water Invertebrates of the United States: Protozoa to Mollusca,NA,Gulf Coast / Delta Area (TX - FL),NA,NA,body_size_max,7,mm
6770,Euglesa compressa,Species,Euglesa,Sphaeriidae,family,Musculium partumeium,Musculium,Sphaeriidae,USGS,6297,Ecology and Classification of North American Freshwater Invertebrates,NA,In all regions where this species occurs,NA,NA,body_size_max,4,mm
6770,Euglesa compressa,Species,Euglesa,Sphaeriidae,family,Pisidium spp.,Pisidium,Sphaeriidae,USGS,6683,Fresh-Water Invertebrates of the United States: Protozoa to Mollusca,NA,In all regions where this species occurs,NA,NA,body_size_max,4,mm
6770,Euglesa compressa,Species,Euglesa,Sphaeriidae,family,Sphaeriidae,NA,Sphaeriidae,USGS,6667,Fresh-Water Invertebrates of the United States: Protozoa to Mollusca,NA,In all regions where this species occurs,NA,NA,body_size_max,10,mm
2510,Ilyodrilus frantzi,Species,Ilyodrilus,Naididae,genus,Ilyodrilus templetoni,Ilyodrilus,Tubificidae,USGS,6347,Fresh-Water Invertebrates of the United States: Protozoa to Mollusca,NA,In all regions where this species occurs,NA,NA,body_size_max,65,mm
2850,Lumbriculus variegatus,Species,Lumbriculus,Lumbriculidae,genus,Lumbriculus spp.,Lumbriculus,Lumbriculidae,USGS,7607,Ecology and Classification of North American Freshwater Invertebrates.,NA,NA,NA,NA,body_size_max,100,mm
2970,Mooreobdella microstoma,Species,Mooreobdella,Erpobdellidae,genus,Mooreobdella melanostoma,Mooreobdella,Erpobdellidae,USGS,6438,Fresh-Water Invertebrates of the United States: Protozoa to Mollusca,NA,In all regions where this species occurs,NA,NA,body_size_max,55,mm
2970,Mooreobdella microstoma,Species,Mooreobdella,Erpobdellidae,genus,Mooreobdella bucera,Mooreobdella,Erpobdellidae,USGS,6440,Fresh-Water Invertebrates of the United States: Protozoa to Mollusca,Michigan,NA,NA,NA,body_size_max,20,mm
2970,Mooreobdella microstoma,Species,Mooreobdella,Erpobdellidae,genus,Mooreobdella tetragon,Mooreobdella,Erpobdellidae,USGS,6443,Fresh-Water Invertebrates of the United States: Protozoa to Mollusca,NA,In all regions where this species occurs,NA,NA,body_size_max,40,mm
2970,Mooreobdella microstoma,Species,Mooreobdella,Erpobdellidae,genus,Mooreobdella fervida,Mooreobdella,Glossiphoniidae,USGS,6441,Fresh-Water Invertebrates of the United States: Protozoa to Mollusca,NA,Northern Midwest (Great Lakes states),NA,NA,body_size_max,30,mm
2970,Mooreobdella microstoma,Species,Mooreobdella,Erpobdellidae,genus,Mooreobdella fervida,Mooreobdella,Glossiphoniidae,USGS,7987,Ecology and Classification of North American Freshwater Invertebrates.,NA,NA,NA,NA,body_size_max,50,mm
3430,Manayunkia speciosa,Species,Manayunkia,Fabriciidae,genus,Manayunkia eriensis,Manayunkia,Sabellidae,USGS,6373,Fresh-Water Invertebrates of the United States: Protozoa to Mollusca,NA,In all regions where this species occurs,NA,NA,body_size_max,4,mm
4750,Gammarus daiberi,Species,Gammarus,Gammaridae,genus,Gammarus spp.,Gammarus,Gammaridae,USGS,6501,Fresh-Water Invertebrates of the United States: Protozoa to Mollusca,NA,In all regions where this species occurs,NA,NA,body_size_max,25,mm
4750,Gammarus daiberi,Species,Gammarus,Gammaridae,genus,Gammarus fasciatus,Gammarus,Gammaridae,USGS,6507,Fresh-Water Invertebrates of the United States: Protozoa to Mollusca,NA,In all regions where this species occurs,NA,NA,body_size_max,14,mm
4750,Gammarus daiberi,Species,Gammarus,Gammaridae,genus,Gammarus pseudolimnaeus,Gammarus,Gammaridae,USGS,6508,Fresh-Water Invertebrates of the United States: Protozoa to Mollusca,NA,Northern Midwest (Great Lakes states),NA,NA,body_size_max,17,mm
4750,Gammarus daiberi,Species,Gammarus,Gammaridae,genus,Gammarus minus,Gammarus,Gammaridae,USGS,6509,Fresh-Water Invertebrates of the United States: Protozoa to Mollusca,NA,Mid-Midwest,NA,NA,body_size_max,14,mm
4750,Gammarus daiberi,Species,Gammarus,Gammaridae,genus,Gammarus lacustris,Gammarus,Gammaridae,USGS,6510,Fresh-Water Invertebrates of the United States: Protozoa to Mollusca,NA,In all regions where this species occurs,NA,NA,body_size_max,22,mm
4810,Hyalella,Genus,Hyalella,Hyalellidae,genus,Hyalella azteca,Hyalella,Hyalellidae,USGS,6498,Fresh-Water Invertebrates of the United States: Protozoa to Mollusca,NA,In all regions where this species occurs,NA,NA,body_size_max,6,mm
6490,Fluminicola,Genus,Fluminicola,Lithoglyphidae,genus,Fluminicola spp.,Fluminicola,Hydrobiidae,USGS,6646,Fresh-Water Invertebrates of the United States: Protozoa to Mollusca,NA,Pacific Northwest (coastal),NA,NA,body_size_max,7,mm
1130,Prostoma graecense,Species,Prostoma,Prostomatidae,species,Prostoma graecense,Prostoma,Tetrastemmatidae,USGS,6320,Fresh-Water Invertebrates of the United States: Protozoa to Mollusca,NA,In all regions where this species occurs,NA,NA,body_size_max,30,mm
2530,Ilyodrilus templetoni,Species,Ilyodrilus,Naididae,species,Ilyodrilus templetoni,Ilyodrilus,Tubificidae,USGS,6347,Fresh-Water Invertebrates of the United States: Protozoa to Mollusca,NA,In all regions where this species occurs,NA,NA,body_size_max,65,mm
2970,Mooreobdella microstoma,Species,Mooreobdella,Erpobdellidae,species,Mooreobdella microstoma,Mooreobdella,Glossiphoniidae,USGS,6442,Fresh-Water Invertebrates of the United States: Protozoa to Mollusca,NA,In all regions where this species occurs,NA,NA,body_size_max,40,mm
2970,Mooreobdella microstoma,Species,Mooreobdella,Erpobdellidae,species,Mooreobdella microstoma,Mooreobdella,Glossiphoniidae,USGS,7988,Ecology and Classification of North American Freshwater Invertebrates.,NA,NA,NA,NA,body_size_max,50,mm
6730,Corbicula fluminea,Species,Corbicula,Cyrenidae,species,Corbicula fluminea,Corbicula,Corbiculidae,USGS,6291,Ecology and Classification of North American Freshwater Invertebrates,NA,In all regions where this species occurs,NA,NA,body_size_max,50,mm
6730,Corbicula fluminea,Species,Corbicula,Cyrenidae,species,Corbicula fluminea,Corbicula,Corbiculidae,USGS,6668,Fresh-Water Invertebrates of the United States: Protozoa to Mollusca,NA,In all regions where this species occurs,NA,NA,body_size_max,30,mm
